-- Logs begin at Thu 2023-09-28 15:29:55 UTC, end at Fri 2023-09-29 06:23:45 UTC. --
Sep 29 06:12:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 06:12:38 ubuntu dstat.sh[108377]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 06:12:38 ubuntu dstat.sh[108377]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 06:12:48 ubuntu dstat.sh[108377]: 29-09 06:12:48| 30   8  41  20   0|1123M  372M  202M 6006M|  40k 9711 |   0    15M|   0  1100 |5926    12k|1.48 0.84 0.63|1.0 1.0  13|   0     0 |   0     0 |  9    9    0   10    0
Sep 29 06:12:49 ubuntu dstat.sh[108377]: 29-09 06:12:49| 14   4  59  22   1|1128M  365M  202M 6008M|  22k   10k|   0    10M|   0   837 |5493    11k|1.48 0.84 0.63|  0 1.0  18|   0     0 |   0     0 |  9    9    0   10    1
Sep 29 06:12:50 ubuntu dstat.sh[108377]: 29-09 06:12:50| 28   4  47  21   1|1137M  349M  203M 6015M|  25k   10k|   0    16M|   0  1191 |5897    12k|1.48 0.84 0.63|2.0 2.0  15|   0     0 |   0     0 |  9    9    1   10    1
Sep 29 06:12:51 ubuntu dstat.sh[108377]: 29-09 06:12:51| 11   4  60  22   0|1137M  347M  203M 6017M|  31k   11k|   0    17M|   0  1220 |6548    13k|1.48 0.84 0.63|  0 2.0  13|   0     0 |   0     0 |  9    9    1   10    2
Sep 29 06:12:52 ubuntu dstat.sh[108377]: 29-09 06:12:52|  6   3  66  23   0|1138M  345M  203M 6018M|  46k 9438 |   0    11M|   0   912 |5493    10k|1.48 0.84 0.63|  0 1.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Sep 29 06:12:53 ubuntu dstat.sh[108377]: 29-09 06:12:53| 18   7  63  11   0|1052M  428M  203M 6020M| 864k   25k|   0    13M|   0   973 |4652  9328 |1.36 0.83 0.63|2.0   0  86|   0     0 |   0     0 |  9    6    0   10    4
Sep 29 06:12:54 ubuntu dstat.sh[108377]: 29-09 06:12:54| 49   6  45   0   0|1101M  379M  203M 6020M| 111k 5771 |   0   512k|   0  9.01 |1455  1264 |1.36 0.83 0.63|2.0   0 7.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 29 06:12:55 ubuntu dstat.sh[108377]: 29-09 06:12:55| 50   6  42   0   0|1135M  343M  203M 6021M|  21k 4337 |   0  3794k|   0   205 |1723  2297 |1.36 0.83 0.63|4.0   0 4.0|   0     0 |   0     0 |  9    6    1   10    2
Sep 29 06:12:56 ubuntu dstat.sh[108377]: 29-09 06:12:56| 27   4  68   0   0|1087M  391M  204M 6022M|  20k 5979 |   0   612k|   0  22.0 |1259  1330 |1.36 0.83 0.63|1.0   0  11|   0     0 |   0     0 |  9    7    0   10    2
Sep 29 06:12:57 ubuntu dstat.sh[108377]: 29-09 06:12:57| 32   3  65   1   0|1137M  341M  204M 6022M|  22k 5205 |   0  1004k|   0  23.0 |1174  1210 |1.36 0.83 0.63|2.0   0   0|   0     0 |   0     0 |  9    7    1   10    2
Sep 29 06:12:58 ubuntu dstat.sh[108377]: 29-09 06:12:58| 30   5  65   0   0|1058M  420M  204M 6022M|  19k 5963 |   0   376k|   0  9.00 |1464  1794 |1.33 0.83 0.63|1.0   0  62|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 06:12:59 ubuntu dstat.sh[108377]: 29-09 06:12:59| 15  19  66   0   0|1061M  417M  204M 6022M| 117k 5784 |   0   448k|   0  12.0 |2611  3933 |1.33 0.83 0.63|2.0   0 332|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 06:13:00 ubuntu dstat.sh[108377]: 29-09 06:13:00| 18  21  61   0   0|1025M  450M  204M 6025M|1414k   33k|   0  1832k|   0  20.0 |3352  5019 |1.33 0.83 0.63|4.0   0 332|   0     0 |   0     0 |  9    6    0   10    4
Sep 29 06:13:01 ubuntu dstat.sh[108377]: 29-09 06:13:01| 49  18  32   0   0|1081M  392M  204M 6027M| 887k   18k| 183k 1254k|1.99  6.96 |4075  7113 |1.33 0.83 0.63|7.0   0  95|   0     0 |   0     0 |  9    6    0   10    2
Sep 29 06:13:02 ubuntu dstat.sh[108377]: 29-09 06:13:02| 74  12  13   0   0|1188M  284M  204M 6028M|  28k 4584 | 141k   12M|2.01   197 |2164  2239 |1.33 0.83 0.63|3.0 1.0 125|   0     0 |   0     0 |  9    7    0   10    2
Sep 29 06:13:03 ubuntu dstat.sh[108377]: 29-09 06:13:03| 50   4  43   2   0|1238M  232M  204M 6029M|  30k 5906 | 372k 1287k|8.00  75.0 |1773  1932 |1.39 0.85 0.64|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 06:13:04 ubuntu dstat.sh[108377]: 29-09 06:13:04| 58   6  36   0   0|1268M  195M  204M 6035M| 893k   16k|   0  1748k|   0  13.0 |1907  3783 |1.39 0.85 0.64|4.0   0 1.0|   0     0 |   0     0 |  9    8    1   10    2
Sep 29 06:13:05 ubuntu dstat.sh[108377]: 29-09 06:13:05| 39  14  47   0   0|1295M  164M  204M 6038M|  15k 5018 |   0  1179k|   0  20.0 |2905  4804 |1.39 0.85 0.64|1.0   0 146|   0     0 |   0     0 |  9    8    0   11    2
Sep 29 06:13:06 ubuntu dstat.sh[108377]: 29-09 06:13:06| 32   5  59   3   0|1348M  132M  203M 6022M|  50k 4847 |  20k   25M|1.99   149 |1813  1691 |1.39 0.85 0.64|3.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Sep 29 06:13:07 ubuntu dstat.sh[108377]: 29-09 06:13:07| 29   4  63   3   0|1364M  132M  202M 6010M| 553k   16k|  12k   45M|3.02   519 |2449  1518 |1.39 0.85 0.64|2.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Sep 29 06:13:08 ubuntu dstat.sh[108377]: 29-09 06:13:08| 32   4  60   4   0|1321M  174M  203M 6011M| 355k   79k|  40k 3150k|4.00   232 |3152  5278 |1.36 0.85 0.64|2.0   0 1.0|   0     0 |   0     0 |  9   12    0   11    2
Sep 29 06:13:09 ubuntu dstat.sh[108377]: 29-09 06:13:09| 26   5  64   3   0|1256M  238M  203M 6012M|  18k 4680 | 484k 4458k|23.0   238 |2128  2783 |1.36 0.85 0.64|1.0   0  44|   0     0 |   0     0 |  9    6    0   13    2
Sep 29 06:13:10 ubuntu dstat.sh[108377]: 29-09 06:13:10| 30   4  64   2   0|1286M  208M  203M 6012M| 147k   15k| 172k 1143k|9.99  9.99 |1446  1518 |1.36 0.85 0.64|1.0   0 2.0|   0     0 |   0     0 |  9   13    0   11    2
Sep 29 06:13:11 ubuntu dstat.sh[108377]: 29-09 06:13:11| 19   3  65  12   0|1292M  201M  203M 6013M|  93k   82k| 224k 5077k|56.0   191 |2267  3260 |1.36 0.85 0.64|1.0   0   0|   0     0 |   0     0 |  9   27    0   11    2
Sep 29 06:13:12 ubuntu dstat.sh[108377]: 29-09 06:13:12| 36   8  56   0   0|1285M  205M  203M 6015M|  67k   41k|   0   336k|   0  13.0 |1950  2656 |1.36 0.85 0.64|2.0   0  50|   0     0 |   0     0 |  9   32    0   11    2
Sep 29 06:13:13 ubuntu dstat.sh[108377]: 29-09 06:13:13| 44   6  49   0   0|1305M  182M  203M 6017M|  38k   27k|  64k  832k|1.00  14.0 |1977  2637 |1.41 0.87 0.65|2.0   0 2.0|   0     0 |   0     0 |  9   33    0   11    2
Sep 29 06:13:14 ubuntu dstat.sh[108377]: 29-09 06:13:14| 45  13  39   1   0|1284M  184M  204M 6033M|  47k   37k|  28k 2271k|5.00  77.0 |2280  3103 |1.41 0.87 0.65|2.0 1.0 159|   0     0 |   0     0 |  9   32    0   11    2
Sep 29 06:13:15 ubuntu dstat.sh[108377]: 29-09 06:13:15| 58  13  28   2   0|1380M  118M  203M 6006M|  79k   69k|4099B   34M|1.00   583 |2932  2868 |1.41 0.87 0.65|3.0   0 4.0|   0     0 |   0     0 |  9   33    0   11    2
Sep 29 06:13:16 ubuntu dstat.sh[108377]: 29-09 06:13:16| 58   9  26   5   0|1308M  190M  203M 6004M| 677k  667k| 580k 2560k|11.0   100 |3937    11k|1.41 0.87 0.65|5.0   0  33|   0     0 |   0     0 |  9   32    0   13    2
Sep 29 06:13:17 ubuntu dstat.sh[108377]: 29-09 06:13:17| 74  20   5   0   0|1372M  135M  204M 5993M|  12k 1620 |8192B 2200k|1.00  83.0 |2513  4146 |1.41 0.87 0.65|7.0   0 403|   0     0 |   0     0 |  9   32    0   13    2
Sep 29 06:13:18 ubuntu dstat.sh[108377]: 29-09 06:13:18| 83  17   0   0   0|1484M  129M  198M 5895M| 218k  207k|2044k 1208k|63.0  35.0 |3184  5150 |1.94 0.99 0.69|7.0   0 127|   0     0 |   0     0 |  9   33    0   13    2
Sep 29 06:13:19 ubuntu dstat.sh[108377]: 29-09 06:13:19| 86  13   0   0   0|1517M  147M  196M 5848M| 881k  870k|7615k 1651k| 125  67.0 |5065    13k|1.94 0.99 0.69|9.0   0  61|   0     0 |   0     0 |  9   34    0   13    2
Sep 29 06:13:20 ubuntu dstat.sh[108377]: 29-09 06:13:20| 61  10  27   0   0|1379M  285M  196M 5848M| 283k  270k|  40k  540k|2.00  26.0 |3079  5637 |1.94 0.99 0.69|2.0   0 167|   0     0 |   0     0 |  9   35    0   13    2
Sep 29 06:13:21 ubuntu dstat.sh[108377]: 29-09 06:13:21| 35   9  53   2   0|1287M  396M  196M 5829M| 185k  171k|  20k  548k|4.00  45.0 |3104  5053 |1.94 0.99 0.69|2.0   0 112|   0     0 |   0     0 |  9   30    0   13    2
Sep 29 06:13:22 ubuntu dstat.sh[108377]: 29-09 06:13:22| 42   7  49   1   0|1283M  400M  196M 5829M|  65k   55k| 204k  728k|8.00  14.0 |1741  2095 |1.94 0.99 0.69|2.0   0 8.0|   0     0 |   0     0 |  9   30    0   13    0
Sep 29 06:13:23 ubuntu dstat.sh[108377]: 29-09 06:13:23| 43  12  44   1   0|1242M  440M  196M 5830M| 178k  168k| 132k 1313k|3.00  48.0 |8719    18k|1.94 1.01 0.69|2.0   0  84|   0     0 |   0     0 |  9   30    0   13    0
Sep 29 06:13:24 ubuntu dstat.sh[108377]: 29-09 06:13:24| 46   5  49   0   0|1272M  410M  196M 5830M|  21k 1618 |   0  1514k|   0  13.0 |1326  1301 |1.94 1.01 0.69|2.0   0 2.0|   0     0 |   0     0 |  9   30    0   13    0
Sep 29 06:13:25 ubuntu dstat.sh[108377]: 29-09 06:13:25| 46  10  44   0   0|1300M  381M  196M 5830M| 224k  213k|   0   240k|   0  20.0 |7394    17k|1.94 1.01 0.69|2.0   0  13|   0     0 |   0     0 |  9   30    0   14    0
Sep 29 06:13:26 ubuntu dstat.sh[108377]: 29-09 06:13:26| 30  22  45   1   0|1198M  484M  196M 5830M|  11k 1620 | 100k  320k|5.00  10.0 |2650  3873 |1.94 1.01 0.69|2.0   0 411|   0     0 |   0     0 |  9   30    0   13    0
Sep 29 06:13:27 ubuntu dstat.sh[108377]: 29-09 06:13:27| 55  25  18   1   0|1286M  396M  196M 5830M|  11k 1663 |  88k  348k|1.00  21.0 |2512  4469 |1.94 1.01 0.69|6.0   0 547|   0     0 |   0     0 |  9   30    0   13    0
Sep 29 06:13:28 ubuntu dstat.sh[108377]: 29-09 06:13:28| 88  12   0   0   0|1410M  272M  196M 5830M| 127k  116k|   0   634k|   0  34.9 |2251  3172 |2.27 1.09 0.72|6.0   0 103|   0     0 |   0     0 |  9   31    0   13    0
Sep 29 06:13:29 ubuntu dstat.sh[108377]: 29-09 06:13:29| 83  11   5   0   0|1466M  215M  196M 5832M| 949k  939k| 918k  148k|14.0  10.0 |4579    12k|2.27 1.09 0.72|3.0   0  52|   0     0 |   0     0 |  9   35    0   14    0
Sep 29 06:13:30 ubuntu dstat.sh[108377]: 29-09 06:13:30| 81  12   6   0   0|1370M  311M  196M 5832M| 824k  813k|4089B  467k|1.00  51.9 |4838    13k|2.27 1.09 0.72|5.0   0  95|   0     0 |   0     0 |  9   31    0   15    0
Sep 29 06:13:31 ubuntu dstat.sh[108377]: 29-09 06:13:31| 84  14   1   0   0|1388M  292M  196M 5832M| 262k  252k|   0   421k|   0  35.1 |3020  5903 |2.27 1.09 0.72|6.0   0 188|   0     0 |   0     0 |  9   31    0   14    0
Sep 29 06:13:32 ubuntu dstat.sh[108377]: 29-09 06:13:32| 83  14   2   0   0|1501M  179M  196M 5832M|1153k 1141k|   0   156k|   0  10.0 |4505    16k|2.27 1.09 0.72|6.0   0  38|   0     0 |   0     0 |  9   34    0   15    0
Sep 29 06:13:33 ubuntu dstat.sh[108377]: 29-09 06:13:33| 78  11   9   0   0|1353M  326M  196M 5832M|1336k 1326k|   0   196k|   0  12.0 |5831    18k|2.41 1.14 0.74|2.0   0 152|   0     0 |   0     0 |  9   33    0   14    0
Sep 29 06:13:34 ubuntu dstat.sh[108377]: 29-09 06:13:34| 49  12  39   0   0|1230M  449M  196M 5832M| 467k  457k|   0   416k|   0  33.0 |4041  8253 |2.41 1.14 0.74|2.0   0 152|   0     0 |   0     0 |  9   30    0   15    0
Sep 29 06:13:35 ubuntu dstat.sh[108377]: 29-09 06:13:35| 45   5  49   0   0|1291M  389M  196M 5832M| 119k  108k|   0   140k|   0  7.99 |1632  2443 |2.41 1.14 0.74|2.0   0   0|   0     0 |   0     0 |  9   30    0   14    0
Sep 29 06:13:36 ubuntu dstat.sh[108377]: 29-09 06:13:36| 43  12  43   1   0|1236M  443M  196M 5833M| 719k  710k|   0   912k|   0  62.0 |5049    11k|2.41 1.14 0.74|4.0   0 189|   0     0 |   0     0 |  9   30    0   16    0
Sep 29 06:13:37 ubuntu dstat.sh[108377]: 29-09 06:13:37| 70  16  14   0   0|1315M  363M  196M 5833M|  13k 2766 |   0    16k|   0  4.01 |1971  8407 |2.41 1.14 0.74|3.0   0 227|   0     0 |   0     0 |  9   30    0   17    0
Sep 29 06:13:38 ubuntu dstat.sh[108377]: 29-09 06:13:38| 61   7  31   0   0|1354M  324M  196M 5834M| 762k  751k|   0    84k|   0  6.99 |5227    12k|2.37 1.16 0.75|2.0   0   0|   0     0 |   0     0 |  9   33    0   19    0
Sep 29 06:13:39 ubuntu dstat.sh[108377]: 29-09 06:13:39| 67  17  16   0   0|1285M  393M  196M 5834M| 363k  345k|   0   469k|   0  50.1 |3738  8243 |2.37 1.16 0.75|4.0   0 265|   0     0 |   0     0 |  9   30    0   19    0
Sep 29 06:13:40 ubuntu dstat.sh[108377]: 29-09 06:13:40| 87  12   1   0   0|1413M  264M  196M 5834M| 395k  385k|   0   236k|   0  20.0 |3024  5244 |2.37 1.16 0.75|3.0   0   0|   0     0 |   0     0 |  9   33    0   19    0
Sep 29 06:13:41 ubuntu dstat.sh[108377]: 29-09 06:13:41| 66  12  21   0   0|1395M  282M  196M 5834M|1290k 1280k|   0   440k|   0  40.0 |6426    17k|2.37 1.16 0.75|5.0   0 197|   0     0 |   0     0 |  9   32    0   21    0
Sep 29 06:13:42 ubuntu dstat.sh[108377]: 29-09 06:13:42| 76  12  12   0   0|1336M  342M  196M 5834M| 277k  266k|   0   228k|   0  14.0 |2629  5157 |2.37 1.16 0.75|3.0   0 132|   0     0 |   0     0 |  9   31    0   21    0
Sep 29 06:13:43 ubuntu dstat.sh[108377]: 29-09 06:13:43| 60  16  22   0   0|1256M  421M  196M 5834M| 828k  817k|   0   440k|   0  39.0 |4423    12k|2.50 1.20 0.76|4.0   0 254|   0     0 |   0     0 |  9   30    0   21    0
Sep 29 06:13:44 ubuntu dstat.sh[108377]: 29-09 06:13:44| 83  13   5   0   1|1339M  338M  196M 5834M| 420k  408k|   0   212k|   0  11.0 |3038  6807 |2.50 1.20 0.76|3.0   0  53|   0     0 |   0     0 |  9   30    0   21    0
Sep 29 06:13:45 ubuntu dstat.sh[108377]: 29-09 06:13:45| 60  13  25   0   0|1305M  372M  196M 5835M| 892k  879k|   0   284k|   0  25.0 |5834    13k|2.50 1.20 0.76|8.0   0 188|   0     0 |   0     0 |  9   32    0   22    0
Sep 29 06:13:46 ubuntu dstat.sh[108377]: 29-09 06:13:46| 78  12   9   0   0|1322M  354M  196M 5835M| 321k  309k|   0    15M|   0   298 |3703  5574 |2.50 1.20 0.76|3.0   0 104|   0     0 |   0     0 |  9   30    0   22    0
Sep 29 06:13:47 ubuntu dstat.sh[108377]: 29-09 06:13:47| 64   7  28   0   0|1301M  375M  196M 5835M| 722k  711k|   0   275k|   0  22.9 |4416  9631 |2.50 1.20 0.76|3.0   0  29|   0     0 |   0     0 |  9   32    0   22    0
Sep 29 06:13:48 ubuntu dstat.sh[108377]: 29-09 06:13:48| 64  12  24   1   0|1293M  384M  196M 5835M| 245k  234k|   0   309k|   0  26.1 |3099  5366 |2.54 1.23 0.78|4.0   0  88|   0     0 |   0     0 |  9   30    0   22    0
Sep 29 06:13:49 ubuntu dstat.sh[108377]: 29-09 06:13:49| 66   7  27   0   0|1360M  316M  196M 5835M| 570k  558k|   0   336k|   0  27.0 |3960  8324 |2.54 1.23 0.78|4.0   0   0|   0     0 |   0     0 |  9   31    0   24    0
Sep 29 06:13:50 ubuntu dstat.sh[108377]: 29-09 06:13:50| 70  22   8   0   0|1289M  387M  196M 5835M| 419k  408k|   0   392k|   0  32.0 |3539  9020 |2.54 1.23 0.78|6.0   0 377|   0     0 |   0     0 |  9   30    0   24    0
Sep 29 06:13:51 ubuntu dstat.sh[108377]: 29-09 06:13:51| 84  15   1   0   0|1374M  302M  196M 5835M| 343k  331k|   0    35M|   0   201 |3925  6607 |2.54 1.23 0.78|7.0   0 147|   0     0 |   0     0 |  9   31    0   24    0
Sep 29 06:13:52 ubuntu dstat.sh[108377]: 29-09 06:13:52| 79  19   1   0   0|1328M  348M  196M 5835M| 483k  472k|   0   500k|   0  37.0 |4407  9283 |2.54 1.23 0.78|8.0   0 259|   0     0 |   0     0 |  9   30    0   24    0
Sep 29 06:13:53 ubuntu dstat.sh[108377]: 29-09 06:13:53| 85  15   0   0   0|1426M  250M  196M 5836M| 286k  275k|   0   302k|   0  21.9 |3527  6147 |2.82 1.31 0.80|8.0   0 168|   0     0 |   0     0 |  9   31    0   24    0
Sep 29 06:13:54 ubuntu dstat.sh[108377]: 29-09 06:13:54| 81  14   3   0   0|1452M  223M  196M 5836M|1190k 1180k|   0  2059k|   0   127 |7270    17k|2.82 1.31 0.80| 10   0 188|   0     0 |   0     0 |  9   32    0   25    0
Sep 29 06:13:55 ubuntu dstat.sh[108377]: 29-09 06:13:55| 68  22   9   0   0|1301M  374M  196M 5836M|1033k 1023k|   0   140k|   0  9.00 |6730    16k|2.82 1.31 0.80|4.0   0 487|   0     0 |   0     0 |  9   31    0   26    0
Sep 29 06:13:56 ubuntu dstat.sh[108377]: 29-09 06:13:56| 44  23  31   0   0|1236M  439M  196M 5836M| 677k  668k|4096B  752k|1.00  8.00 |5568    12k|2.82 1.31 0.80|4.0   0 510|   0     0 |   0     0 |  9   31    0   27    0
Sep 29 06:13:57 ubuntu dstat.sh[108377]: 29-09 06:13:57| 20  23  56   0   0|1172M  503M  196M 5836M| 106k   96k|   0  4093B|   0  1.00 |3360  5573 |2.82 1.31 0.80|2.0   0 456|   0     0 |   0     0 |  9   30    0   27    0
Sep 29 06:13:58 ubuntu dstat.sh[108377]: 29-09 06:13:58| 42  31  25   0   0|1265M  410M  196M 5836M|  12k 1622 |   0   196k|   0  16.0 |2676  5486 |3.08 1.39 0.83|6.0   0 756|   0     0 |   0     0 |  9   30    0   27    0
Sep 29 06:13:59 ubuntu dstat.sh[108377]: 29-09 06:13:59| 82  17   2   0   0|1406M  269M  196M 5836M| 446k  428k|   0   268k|   0  25.0 |4249  8459 |3.08 1.39 0.83|8.0   0 282|   0     0 |   0     0 |  9   32    0   27    0
Sep 29 06:14:00 ubuntu dstat.sh[108377]: 29-09 06:14:00| 80  15   3   0   0|1322M  353M  196M 5837M| 774k  764k|   0   452k|   0  44.0 |5831    13k|3.08 1.39 0.83|5.0   0 181|   0     0 |   0     0 |  9   31    0   27    0
Sep 29 06:14:01 ubuntu dstat.sh[108377]: 29-09 06:14:01| 84  14   1   0   1|1411M  264M  196M 5837M| 375k  363k|   0   356k|   0  34.0 |4014  7173 |3.08 1.39 0.83|6.0   0 118|   0     0 |   0     0 |  9   30    0   27    0
Sep 29 06:14:02 ubuntu dstat.sh[108377]: 29-09 06:14:02| 81  12   6   0   0|1451M  223M  196M 5837M|1087k 1079k|  48k  208k|1.00  10.0 |5889    13k|3.08 1.39 0.83|5.0   0  69|   0     0 |   0     0 |  9   34    0   28    0
Sep 29 06:14:03 ubuntu dstat.sh[108377]: 29-09 06:14:03| 64   6  28   0   0|1476M  197M  196M 5838M|1317k 1307k|   0   268k|   0  22.0 |7868    19k|2.83 1.37 0.83|4.0   0 2.0|   0     0 |   0     0 |  9   34    0   34    0
Sep 29 06:14:04 ubuntu dstat.sh[108377]: 29-09 06:14:04| 69   9  21   0   0|1462M  211M  196M 5838M|1052k 1040k|   0   240k|   0  18.0 |6492    15k|2.83 1.37 0.83|5.0   0  32|   0     0 |   0     0 |  9   33    0   37    0
Sep 29 06:14:05 ubuntu dstat.sh[108377]: 29-09 06:14:05| 83  14   4   0   0|1380M  293M  196M 5839M| 795k  786k| 480k  548k|5.00  57.0 |5224    13k|2.83 1.37 0.83|7.0   0 132|   0     0 |   0     0 |  9   31    0   36    0
Sep 29 06:14:06 ubuntu dstat.sh[108377]: 29-09 06:14:06| 85  13   1   0   0|1449M  224M  196M 5839M| 717k  706k|   0   216k|   0  16.0 |3772  9267 |2.83 1.37 0.83|7.0   0  32|   0     0 |   0     0 |  9   32    0   36    0
Sep 29 06:14:07 ubuntu dstat.sh[108377]: 29-09 06:14:07| 71  11  16   0   0|1422M  249M  196M 5839M|1417k 1408k|   0   212k|   0  9.99 |6099    15k|2.83 1.37 0.83|6.0   0  71|   0     0 |   0     0 |  9   33    0   38    0
Sep 29 06:14:08 ubuntu dstat.sh[108377]: 29-09 06:14:08| 69  10  20   0   0|1471M  200M  196M 5840M|1374k 1363k|   0   184k|   0  10.0 |7266    16k|2.92 1.41 0.85|4.0   0 1.0|   0     0 |   0     0 |  9   34    0   39    0
Sep 29 06:14:09 ubuntu dstat.sh[108377]: 29-09 06:14:09| 61   8  30   0   0|1435M  236M  196M 5840M|1143k 1121k|   0   244k|   0  19.0 |6989    15k|2.92 1.41 0.85|6.0   0  31|   0     0 |   0     0 |  9   33    0   41    0
Sep 29 06:14:10 ubuntu dstat.sh[108377]: 29-09 06:14:10| 79  15   6   0   0|1391M  279M  196M 5841M|1109k 1100k|   0    80k|   0  9.01 |6551    15k|2.92 1.41 0.85|6.0   0 158|   0     0 |   0     0 |  9   33    0   41    0
Sep 29 06:14:11 ubuntu dstat.sh[108377]: 29-09 06:14:11| 85  12   2   0   0|1378M  290M  196M 5843M| 851k  840k|   0   108k|   0  13.0 |5007    11k|2.92 1.41 0.85|6.0   0  87|   0     0 |   0     0 |  9   34    0   41    0
Sep 29 06:14:12 ubuntu dstat.sh[108377]: 29-09 06:14:12| 84  12   3   0   1|1417M  251M  196M 5843M|1118k 1109k|   0   268k|   0  17.0 |5420    13k|2.92 1.41 0.85|8.0   0  39|   0     0 |   0     0 |  9   35    0   41    0
Sep 29 06:14:13 ubuntu dstat.sh[108377]: 29-09 06:14:13| 84  14   2   0   0|1363M  305M  196M 5843M| 706k  696k|   0   296k|   0  24.0 |5031    10k|3.09 1.47 0.87|6.0   0 178|   0     0 |   0     0 |  9   36    0   41    0
Sep 29 06:14:14 ubuntu dstat.sh[108377]: 29-09 06:14:14| 87  11   2   0   0|1418M  249M  196M 5843M| 892k  883k|   0   344k|   0  32.0 |5146    11k|3.09 1.47 0.87|7.0   0  65|   0     0 |   0     0 |  9   35    0   41    0
Sep 29 06:14:15 ubuntu dstat.sh[108377]: 29-09 06:14:15| 79  12   8   0   0|1365M  302M  196M 5844M|1306k 1295k|   0   280k|   0  23.0 |5685    17k|3.09 1.47 0.87|6.0   0 127|   0     0 |   0     0 |  9   36    0   43    0
