-- Logs begin at Mon 2022-12-12 19:29:47 UTC, end at Wed 2022-12-14 10:41:50 UTC. --
Dec 14 10:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 14 10:01:48 ubuntu dstat.sh[83142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 14 10:01:48 ubuntu dstat.sh[83142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 14 10:02:00 ubuntu dstat.sh[83142]: 14-12 10:02:00| 23   4  51  20   0|1147M  861M  197M 5532M| 758k   14k|   0  6730k|   0   722 |6358    10k|1.08 0.59 0.48|  0 1.0  28|   0     0 |   0     0 |  9    9    0   10    2
Dec 14 10:02:01 ubuntu dstat.sh[83142]: 14-12 10:02:01|  8   3  68  20   0|1152M  851M  197M 5537M| 882k   17k|   0  6649k|   0   641 |5738  9712 |1.16 0.61 0.49|1.0 1.0 4.0|   0     0 |   0     0 |  9    9    0   10    2
Dec 14 10:02:02 ubuntu dstat.sh[83142]: 14-12 10:02:02| 25   4  60   9   0|1060M  943M  197M 5536M| 118k   13k|   0  4918k|   0   293 |3563  5705 |1.16 0.61 0.49|1.0   0  45|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:03 ubuntu dstat.sh[83142]: 14-12 10:02:03| 24   4  70   0   0|1104M  898M  197M 5537M| 255k 8314 |   0   548k|   0  9.00 |1502  1592 |1.16 0.61 0.49|2.0   0  46|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:04 ubuntu dstat.sh[83142]: 14-12 10:02:04| 28   2  70   1   0|1151M  851M  197M 5537M| 190k 6938 |   0   624k|   0  9.00 |1273  1225 |1.16 0.61 0.49|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:05 ubuntu dstat.sh[83142]: 14-12 10:02:05| 27   3  68   1   0|1094M  908M  197M 5538M| 297k   11k|   0    11M|   0   563 |2712  3044 |1.16 0.61 0.49|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:06 ubuntu dstat.sh[83142]: 14-12 10:02:06| 29   2  66   2   0|1151M  849M  197M 5539M| 481k 9892 |   0  7462k|   0   419 |2338  2969 |1.14 0.62 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:07 ubuntu dstat.sh[83142]: 14-12 10:02:07| 25   8  66   1   0|1062M  937M  198M 5540M| 327k 7991 |   0  7389k|   0   410 |2793  4029 |1.14 0.62 0.50|3.0   0 124|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:08 ubuntu dstat.sh[83142]: 14-12 10:02:08| 14  19  65   2   0|1062M  936M  198M 5540M| 351k 6982 |   0  7797k|   0   395 |3952  6259 |1.14 0.62 0.50|1.0   0 369|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:09 ubuntu dstat.sh[83142]: 14-12 10:02:09| 27  19  53   0   0|1034M  963M  198M 5542M| 298k 9729 |   0  2473k|   0  59.0 |3376  5915 |1.14 0.62 0.50|5.0   0 217|   0     0 |   0     0 |  9    6    0   10    2
Dec 14 10:02:10 ubuntu dstat.sh[83142]: 14-12 10:02:10| 59  20  20   1   0|1150M  846M  198M 5543M| 162k 7565 | 324k   34M|4.00   190 |4024  7296 |1.14 0.62 0.50|3.0 1.0 190|   0     0 |   0     0 |  9    7    0   10    2
Dec 14 10:02:11 ubuntu dstat.sh[83142]: 14-12 10:02:11| 64   7  25   3   0|1246M  750M  198M 5543M|  61k 5647 |  20k 4855k|4.00   335 |2080  1349 |1.29 0.66 0.51|2.0   0 4.0|   0     0 |   0     0 |  9    7    1   10    2
Dec 14 10:02:12 ubuntu dstat.sh[83142]: 14-12 10:02:12| 49   3  47   1   0|1284M  710M  198M 5544M|  25k 4473 | 352k 1032k|4.00  53.0 |1390  1305 |1.29 0.66 0.51|2.0   0   0|   0     0 |   0     0 |  9    7    1   10    2
Dec 14 10:02:13 ubuntu dstat.sh[83142]: 14-12 10:02:13| 34  12  54   0   0|1322M  669M  198M 5547M| 514k 8674 |   0  1224k|   0  33.0 |2823  6645 |1.29 0.66 0.51|1.0   0 141|   0     0 |   0     0 |  9    7    0   10    2
Dec 14 10:02:14 ubuntu dstat.sh[83142]: 14-12 10:02:14| 31   4  64   1   0|1385M  605M  198M 5548M| 455k 7684 |   0  1348k|   0  9.00 |1300  1278 |1.29 0.66 0.51|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:02:15 ubuntu dstat.sh[83142]: 14-12 10:02:15| 26   2  70   0   0|1411M  577M  198M 5549M| 783k   39k|   0  1064k|   0  28.0 |1749  2053 |1.29 0.66 0.51|1.0   0 2.0|   0     0 |   0     0 |  9   14    0   10    2
Dec 14 10:02:16 ubuntu dstat.sh[83142]: 14-12 10:02:16| 27   4  65   3   0|1329M  659M  198M 5549M| 108k   41k|   0  7049k|   0   271 |2999  4624 |1.19 0.65 0.51|2.0   0  44|   0     0 |   0     0 |  9    8    0   12    2
Dec 14 10:02:17 ubuntu dstat.sh[83142]: 14-12 10:02:17| 24   5  68   2   0|1352M  634M  198M 5551M| 698k   11k|  64k 1452k|6.00  16.0 |1623  1735 |1.19 0.65 0.51|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   12    2
Dec 14 10:02:18 ubuntu dstat.sh[83142]: 14-12 10:02:18| 24   3  68   4   0|1367M  618M  198M 5552M| 398k   99k| 216k 1115k|54.0  21.0 |2145  2813 |1.19 0.65 0.51|1.0   0 4.0|   0     0 |   0     0 |  9   31    0   12    2
Dec 14 10:02:19 ubuntu dstat.sh[83142]: 14-12 10:02:19| 25   5  68   1   1|1336M  648M  198M 5553M| 412k   44k|   0   388k|   0  9.01 |1760  2065 |1.19 0.65 0.51|1.0   0  46|   0     0 |   0     0 |  9   34    0   10    2
Dec 14 10:02:20 ubuntu dstat.sh[83142]: 14-12 10:02:20| 38   6  56   0   0|1372M  609M  199M 5556M| 381k   27k|   0   176k|   0  4.00 |1560  1516 |1.19 0.65 0.51|1.0   0 4.0|   0     0 |   0     0 |  9   34    0   10    2
Dec 14 10:02:21 ubuntu dstat.sh[83142]: 14-12 10:02:21| 37  14  47   1   0|1324M  655M  199M 5557M| 519k   46k|   0  9410k|   0  38.1 |2319  2856 |1.17 0.66 0.51|3.0   0 161|   0     0 |   0     0 |  9   32    0   10    3
Dec 14 10:02:22 ubuntu dstat.sh[83142]: 14-12 10:02:22| 69   9  22   0   0|1424M  555M  199M 5557M|  92k   29k|   0   408k|   0  13.0 |1629  1562 |1.17 0.66 0.51|3.0   0 1.0|   0     0 |   0     0 |  9   33    0   10    2
Dec 14 10:02:23 ubuntu dstat.sh[83142]: 14-12 10:02:23| 61  10  28   0   0|1383M  594M  199M 5559M|1521k  687k|  28k  775k|2.00  51.0 |4839    10k|1.17 0.66 0.51|3.0   0  70|   0     0 |   0     0 |  9   38    0   12    2
Dec 14 10:02:24 ubuntu dstat.sh[83142]: 14-12 10:02:24| 72  21   6   0   0|1448M  525M  199M 5563M|  36k 4090 |   0  1399k|   0  19.0 |2359  4027 |1.17 0.66 0.51|5.0   0 400|   0     0 |   0     0 |  9   37    0   12    2
Dec 14 10:02:25 ubuntu dstat.sh[83142]: 14-12 10:02:25| 87  13   0   0   0|1595M  377M  199M 5564M| 707k  122k|   0  1538k|   0  19.0 |2497  3522 |1.17 0.66 0.51|6.0   0 130|   0     0 |   0     0 |  9   38    1   10    2
Dec 14 10:02:26 ubuntu dstat.sh[83142]: 14-12 10:02:26| 87  12   1   0   0|1629M  341M  199M 5565M|1155k  776k|   0  2896k|   0   126 |5516    12k|1.64 0.76 0.54|5.0   0  52|   0     0 |   0     0 |  9   38    0   10    2
Dec 14 10:02:27 ubuntu dstat.sh[83142]: 14-12 10:02:27| 57  13  27   1   0|1397M  573M  199M 5565M| 493k  412k|   0  1471k|   0  93.9 |4113  8405 |1.64 0.76 0.54|2.0   0 202|   0     0 |   0     0 |  9   39    0   10    2
Dec 14 10:02:28 ubuntu dstat.sh[83142]: 14-12 10:02:28| 25   6  69   0   0|1364M  605M  199M 5566M| 272k   15k|   0   903k|   0  35.0 |1793  2308 |1.64 0.76 0.54|1.0   0  62|   0     0 |   0     0 |  9   38    0   10    2
Dec 14 10:02:29 ubuntu dstat.sh[83142]: 14-12 10:02:29| 29   3  66   0   0|1396M  573M  199M 5566M| 478k  121k|   0   968k|   0  34.0 |1851  2730 |1.64 0.76 0.54|1.0   0   0|   0     0 |   0     0 |  9   39    0   10    2
Dec 14 10:02:30 ubuntu dstat.sh[83142]: 14-12 10:02:30| 24   6  67   1   0|1357M  610M  199M 5567M| 649k  108k|   0  3818k|   0   194 |2713  4274 |1.64 0.76 0.54|1.0   0  72|   0     0 |   0     0 |  9   38    0   11    2
Dec 14 10:02:31 ubuntu dstat.sh[83142]: 14-12 10:02:31| 34   6  60   0   0|1398M  568M  199M 5568M| 453k   69k|   0  3905k|   0  17.0 |1671  2038 |1.59 0.77 0.55|2.0   0 2.0|   0     0 |   0     0 |  9   39    0   11    2
Dec 14 10:02:32 ubuntu dstat.sh[83142]: 14-12 10:02:32| 24  13  62   2   0|1264M  702M  199M 5568M| 262k  145k|   0  2661k|   0  84.0 |3549  5529 |1.59 0.77 0.55|2.0   0 258|   0     0 |   0     0 |  9   36    0   11    2
Dec 14 10:02:33 ubuntu dstat.sh[83142]: 14-12 10:02:33| 43  26  31   0   0|1326M  639M  200M 5569M|  23k 2150 |   0   416k|   0  19.0 |2789  4989 |1.59 0.77 0.55|6.0   0 622|   0     0 |   0     0 |  9   36    0   11    2
Dec 14 10:02:34 ubuntu dstat.sh[83142]: 14-12 10:02:34| 84  15   0   0   0|1434M  527M  200M 5572M|  40k   33k|   0  1040k|   0  23.0 |2756  4184 |1.59 0.77 0.55|6.0   0 142|   0     0 |   0     0 |  9   37    0   11    2
Dec 14 10:02:35 ubuntu dstat.sh[83142]: 14-12 10:02:35| 85  13   1   0   0|1551M  401M  200M 5580M| 739k  734k|   0  1862k|   0  72.9 |5493    10k|1.59 0.77 0.55|5.0   0  30|   0     0 |   0     0 |  9   39    0   11    2
Dec 14 10:02:36 ubuntu dstat.sh[83142]: 14-12 10:02:36| 83  15   1   0   0|1442M  495M  201M 5593M| 681k  674k|   0  4002k|   0   149 |5243    12k|1.94 0.85 0.58|8.0   0  91|   0     0 |   0     0 |  9   37    0   11    2
Dec 14 10:02:37 ubuntu dstat.sh[83142]: 14-12 10:02:37| 86  13   0   0   0|1484M  443M  201M 5601M| 448k  442k|   0  2256k|   0  91.1 |3852  7346 |1.94 0.85 0.58|6.0   0  12|   0     0 |   0     0 |  9   36    0   11    2
Dec 14 10:02:38 ubuntu dstat.sh[83142]: 14-12 10:02:38| 84  15   1   0   0|1534M  377M  202M 5614M| 480k  474k|   0  3211k|   0   121 |3770  8278 |1.94 0.85 0.58|6.0 1.0 182|   0     0 |   0     0 |  9   39    0   11    2
Dec 14 10:02:39 ubuntu dstat.sh[83142]: 14-12 10:02:39| 87  12   1   0   0|1637M  257M  202M 5630M| 951k  946k|   0  1687k|   0  76.3 |5051    11k|1.94 0.85 0.58|6.0 1.0  37|   0     0 |   0     0 |  9   39    0   11    2
Dec 14 10:02:40 ubuntu dstat.sh[83142]: 14-12 10:02:40| 77  13   8   0   0|1484M  405M  203M 5634M| 912k  907k|   0  1792k|   0  70.0 |5115    11k|1.94 0.85 0.58|4.0   0 151|   0     0 |   0     0 |  9   39    0   13    2
Dec 14 10:02:41 ubuntu dstat.sh[83142]: 14-12 10:02:41| 59  11  29   1   0|1312M  576M  203M 5634M| 588k  579k|   0    16M|   0   666 |6244    15k|1.95 0.87 0.58|2.0   0 185|   0     0 |   0     0 |  9   37    0   15    2
Dec 14 10:02:42 ubuntu dstat.sh[83142]: 14-12 10:02:42| 57   9  34   1   0|1341M  568M  203M 5615M|  18k 3133 |   0   400k|   0  15.0 |1515  1413 |1.95 0.87 0.58|3.0   0 4.0|   0     0 |   0     0 |  9   34    0   15    0
Dec 14 10:02:43 ubuntu dstat.sh[83142]: 14-12 10:02:43| 65  13  22   0   0|1404M  505M  203M 5615M| 643k  635k|   0  1428k|   0  50.0 |9242    20k|1.95 0.87 0.58|5.0   0  11|   0     0 |   0     0 |  9   35    0   15    0
Dec 14 10:02:44 ubuntu dstat.sh[83142]: 14-12 10:02:44| 73  18   6   0   0|1338M  571M  203M 5615M| 154k  146k|   0  1460k|   0  21.0 |3028  5507 |1.95 0.87 0.58|4.0   0 389|   0     0 |   0     0 |  9   34    0   15    0
Dec 14 10:02:45 ubuntu dstat.sh[83142]: 14-12 10:02:45| 85  14   1   0   0|1475M  433M  203M 5615M| 269k  262k|   0   840k|   0  17.0 |3137    23k|1.95 0.87 0.58|4.0   0 9.0|   0     0 |   0     0 |  9   36    0   12    0
Dec 14 10:02:46 ubuntu dstat.sh[83142]: 14-12 10:02:46| 76  17   7   0   0|1277M  630M  203M 5616M| 785k  778k|   0  2152k|   0   154 |5061    12k|2.03 0.91 0.60|5.0   0 271|   0     0 |   0     0 |  9   34    0   12    0
Dec 14 10:02:47 ubuntu dstat.sh[83142]: 14-12 10:02:47| 87  13   0   0   0|1442M  465M  203M 5616M|9574  1662 |   0   960k|   0  65.0 |1837  1514 |2.03 0.91 0.60|5.0   0  14|   0     0 |   0     0 |  9   34    0   12    0
Dec 14 10:02:48 ubuntu dstat.sh[83142]: 14-12 10:02:48| 84   9   6   0   0|1502M  405M  203M 5616M|1162k 1156k|   0   748k|   0  45.0 |3741    13k|2.03 0.91 0.60|5.0   0 4.0|   0     0 |   0     0 |  9   37    0   15    0
Dec 14 10:02:49 ubuntu dstat.sh[83142]: 14-12 10:02:49| 77  18   4   0   0|1285M  622M  203M 5616M| 616k  609k|   0   744k|   0  56.0 |5601    12k|2.03 0.91 0.60|3.0   0 380|   0     0 |   0     0 |  9   34    0   15    0
Dec 14 10:02:50 ubuntu dstat.sh[83142]: 14-12 10:02:50| 67   7  25   0   0|1393M  514M  203M 5616M| 160k  152k|   0   144k|   0  7.99 |2058  3021 |2.03 0.91 0.60|4.0   0   0|   0     0 |   0     0 |  9   35    0   15    0
Dec 14 10:02:51 ubuntu dstat.sh[83142]: 14-12 10:02:51| 56   8  35   1   0|1332M  574M  203M 5617M| 991k  984k|   0   569k|   0  57.1 |6724    15k|2.11 0.94 0.61|3.0   0  37|   0     0 |   0     0 |  9   35    0   17    0
Dec 14 10:02:52 ubuntu dstat.sh[83142]: 14-12 10:02:52| 62  16  20   0   0|1331M  575M  203M 5617M|  54k   48k|   0  3903k|   0  57.0 |2353  3631 |2.11 0.94 0.61|3.0   0 268|   0     0 |   0     0 |  9   34    0   17    0
Dec 14 10:02:53 ubuntu dstat.sh[83142]: 14-12 10:02:53| 63   8  29   0   0|1401M  505M  203M 5617M| 506k  489k|   0   232k|   0  23.0 |3447  6518 |2.11 0.94 0.61|4.0   0   0|   0     0 |   0     0 |  9   37    0   17    0
Dec 14 10:02:54 ubuntu dstat.sh[83142]: 14-12 10:02:54| 68  16  15   0   0|1282M  624M  203M 5617M| 632k  624k|   0  1037k|   0  81.1 |5390    11k|2.11 0.94 0.61|5.0   0 258|   0     0 |   0     0 |  9   34    0   19    0
Dec 14 10:02:55 ubuntu dstat.sh[83142]: 14-12 10:02:55| 63  11  25   0   0|1397M  509M  203M 5617M| 134k  127k|   0  4089B|   0  1.00 |1913  2796 |2.11 0.94 0.61|3.0   0  34|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:02:56 ubuntu dstat.sh[83142]: 14-12 10:02:56| 61  10  28   1   0|1227M  679M  203M 5617M| 767k  760k|   0   649k|   0  74.1 |6080    12k|2.18 0.98 0.62|3.0   0  88|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:02:57 ubuntu dstat.sh[83142]: 14-12 10:02:57| 66   9  25   0   0|1367M  539M  203M 5617M|  59k   52k|   0   455k|   0  14.0 |1854  2248 |2.18 0.98 0.62|3.0   0  31|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:02:58 ubuntu dstat.sh[83142]: 14-12 10:02:58| 64  14  22   0   0|1352M  553M  203M 5617M| 730k  724k|   0   537k|   0  53.1 |5330    11k|2.18 0.98 0.62|5.0   0 193|   0     0 |   0     0 |  9   36    0   20    0
Dec 14 10:02:59 ubuntu dstat.sh[83142]: 14-12 10:02:59| 84  15   1   0   0|1376M  530M  203M 5617M| 132k  126k|   0   416k|   0  38.0 |2413  4831 |2.18 0.98 0.62|6.0   0 246|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:03:00 ubuntu dstat.sh[83142]: 14-12 10:03:00| 87  13   0   0   0|1436M  469M  203M 5618M| 347k  340k|   0   472k|   0  36.0 |3668  6725 |2.18 0.98 0.62|8.0 1.0 156|   0     0 |   0     0 |  9   36    0   20    0
Dec 14 10:03:01 ubuntu dstat.sh[83142]: 14-12 10:03:01| 82  17   1   0   0|1384M  521M  203M 5618M| 385k  377k|   0   552k|   0  49.0 |4812  8216 |2.65 1.09 0.66|7.0   0 206|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:03:02 ubuntu dstat.sh[83142]: 14-12 10:03:02| 86  14   0   0   0|1449M  456M  203M 5618M| 271k  265k|   0  1638k|   0  35.0 |3460  5783 |2.65 1.09 0.66|6.0   0 156|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:03:03 ubuntu dstat.sh[83142]: 14-12 10:03:03| 83  14   3   0   0|1478M  427M  203M 5618M|1037k 1030k|   0   660k|   0  52.0 |5682    14k|2.65 1.09 0.66|6.0   0 205|   0     0 |   0     0 |  9   36    0   20    0
Dec 14 10:03:04 ubuntu dstat.sh[83142]: 14-12 10:03:04| 77  17   5   0   0|1331M  573M  203M 5618M| 795k  788k|   0   556k|   0  32.0 |6193    12k|2.65 1.09 0.66|4.0   0 389|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:03:05 ubuntu dstat.sh[83142]: 14-12 10:03:05| 53  21  24   0   0|1264M  640M  203M 5619M| 887k  879k|   0   640k|   0  35.0 |6181    14k|2.65 1.09 0.66|5.0   0 555|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:03:06 ubuntu dstat.sh[83142]: 14-12 10:03:06| 21  23  55   0   0|1191M  713M  203M 5619M| 167k  149k|   0   280k|   0  16.0 |3838  6540 |2.68 1.12 0.68|1.0   0 502|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:03:07 ubuntu dstat.sh[83142]: 14-12 10:03:07| 47  32  20   0   0|1291M  613M  203M 5619M|7118  1461 |   0    26M|   0  92.2 |2765  5742 |2.68 1.12 0.68|6.0   0 810|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:03:08 ubuntu dstat.sh[83142]: 14-12 10:03:08| 85  15   0   0   0|1440M  464M  203M 5619M| 160k  153k|   0   944k|   0  32.0 |2825  4306 |2.68 1.12 0.68|6.0   0 212|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:03:09 ubuntu dstat.sh[83142]: 14-12 10:03:09| 85  13   3   0   0|1325M  578M  203M 5619M| 967k  960k|   0  1172k|   0   110 |6178    13k|2.68 1.12 0.68|5.0   0 139|   0     0 |   0     0 |  9   35    0   20    0
Dec 14 10:03:10 ubuntu dstat.sh[83142]: 14-12 10:03:10| 85  14   1   0   0|1427M  477M  203M 5619M| 317k  311k|   0   368k|   0  36.0 |3594  6676 |2.68 1.12 0.68|5.0   0 168|   0     0 |   0     0 |  9   34    0   20    0
Dec 14 10:03:11 ubuntu dstat.sh[83142]: 14-12 10:03:11| 85  12   2   0   0|1490M  413M  204M 5619M| 732k  726k|   0   392k|   0  33.0 |4586  9896 |2.78 1.17 0.69|4.0   0  69|   0     0 |   0     0 |  9   37    0   21    0
Dec 14 10:03:12 ubuntu dstat.sh[83142]: 14-12 10:03:12| 71   8  20   1   0|1534M  369M  204M 5620M|1422k 1416k|   0    45M|   0   371 |7240    18k|2.78 1.17 0.69|3.0   0   0|   0     0 |   0     0 |  9   39    0   25    0
Dec 14 10:03:13 ubuntu dstat.sh[83142]: 14-12 10:03:13| 66  10  24   0   0|1496M  406M  204M 5620M|1245k 1237k|   0   806k|   0  83.8 |7756    17k|2.78 1.17 0.69|7.0   0  32|   0     0 |   0     0 |  9   37    0   28    0
Dec 14 10:03:14 ubuntu dstat.sh[83142]: 14-12 10:03:14| 83  15   1   0   0|1353M  549M  204M 5620M| 482k  475k|   0   767k|   0  78.3 |3659  8343 |2.78 1.17 0.69|6.0   0 152|   0     0 |   0     0 |  9   34    0   28    0
Dec 14 10:03:15 ubuntu dstat.sh[83142]: 14-12 10:03:15| 86  13   1   0   1|1499M  402M  204M 5621M| 637k  631k|   0   512k|   0  36.0 |4538  8543 |2.78 1.17 0.69|5.0   0  13|   0     0 |   0     0 |  9   35    0   28    0
Dec 14 10:03:16 ubuntu dstat.sh[83142]: 14-12 10:03:16| 68   8  22   0   0|1538M  363M  204M 5621M|1348k 1326k|   0   575k|   0  47.9 |7791    18k|2.96 1.24 0.72|3.0   0   0|   0     0 |   0     0 |  9   38    0   29    0
Dec 14 10:03:17 ubuntu dstat.sh[83142]: 14-12 10:03:17| 62   9  29   0   0|1495M  406M  204M 5621M|1264k 1251k|   0   692k|   0  57.0 |6546    15k|2.96 1.24 0.72|3.0   0  74|   0     0 |   0     0 |  9   38    0   30    0
Dec 14 10:03:18 ubuntu dstat.sh[83142]: 14-12 10:03:18| 70  10  19   0   1|1537M  363M  204M 5622M|1288k 1279k|   0   444k|   0  39.0 |6820    15k|2.96 1.24 0.72|4.0   0   0|   0     0 |   0     0 |  9   37    0   38    0
Dec 14 10:03:19 ubuntu dstat.sh[83142]: 14-12 10:03:19| 78  16   4   0   0|1365M  535M  204M 5622M| 928k  917k|   0   604k|   0  53.0 |5443    14k|2.96 1.24 0.72|6.0   0 191|   0     0 |   0     0 |  9   35    0   39    0
Dec 14 10:03:20 ubuntu dstat.sh[83142]: 14-12 10:03:20| 87  13   1   0   0|1490M  407M  204M 5624M| 630k  622k|   0   460k|   0  39.0 |3499  9243 |2.96 1.24 0.72|5.0   0  55|   0     0 |   0     0 |  9   34    0   39    0
Dec 14 10:03:21 ubuntu dstat.sh[83142]: 14-12 10:03:21| 86  12   2   0   0|1455M  442M  204M 5625M|1051k 1043k|   0   608k|   0  58.0 |5145    12k|3.28 1.33 0.75|5.0   0  67|   0     0 |   0     0 |  9   35    0   39    0
Dec 14 10:03:22 ubuntu dstat.sh[83142]: 14-12 10:03:22| 84  15   1   0   0|1358M  539M  204M 5625M| 835k  828k|   0   404k|   0  31.0 |4250    10k|3.28 1.33 0.75|5.0   0 117|   0     0 |   0     0 |  9   34    0   39    0
Dec 14 10:03:23 ubuntu dstat.sh[83142]: 14-12 10:03:23| 84  13   1   0   0|1492M  404M  204M 5626M| 658k  652k|   0   828k|   0  49.0 |3965  8932 |3.28 1.33 0.75|6.0   0  60|   0     0 |   0     0 |  9   36    0   39    0
Dec 14 10:03:24 ubuntu dstat.sh[83142]: 14-12 10:03:24| 82  13   5   0   1|1435M  461M  204M 5626M|1070k 1064k|   0   592k|   0  55.0 |5842    14k|3.28 1.33 0.75|5.0   0  70|   0     0 |   0     0 |  9   36    0   37    0
Dec 14 10:03:25 ubuntu dstat.sh[83142]: 14-12 10:03:25| 85  13   2   0   0|1481M  416M  204M 5626M| 917k  913k|   0   508k|   0  45.0 |5091    13k|3.28 1.33 0.75|7.0   0 123|   0     0 |   0     0 |  9   36    0   38    0
