-- Logs begin at Mon 2023-07-17 15:02:00 UTC, end at Tue 2023-07-18 02:31:06 UTC. --
Jul 18 02:18:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 18 02:18:14 ubuntu dstat.sh[96548]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 18 02:18:14 ubuntu dstat.sh[96548]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 18 02:18:24 ubuntu dstat.sh[96548]: 18-07 02:18:24| 13   4  60  21   0|1093M  835M  218M 5574M|  76k   15k|   0    19M|   0  1617 |8064    16k|1.16 0.76 0.58|1.0 2.0  30|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 02:18:25 ubuntu dstat.sh[96548]: 18-07 02:18:25| 18   5  54  21   0|1096M  829M  219M 5576M|  74k   15k|   0    24M|   0  1870 |9300    16k|1.16 0.76 0.58|2.0 1.0  16|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 02:18:26 ubuntu dstat.sh[96548]: 18-07 02:18:26| 20   4  60  14   0|1012M  911M  220M 5578M|  68k   14k|   0    21M|   0  1547 |7476    13k|1.16 0.76 0.58|1.0   0  32|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:27 ubuntu dstat.sh[96548]: 18-07 02:18:27| 25   6  69   0   0|1059M  863M  220M 5578M| 142k 7250 |   0   929k|   0  32.0 |1622  1853 |1.16 0.76 0.58|1.0   0  60|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:28 ubuntu dstat.sh[96548]: 18-07 02:18:28| 28   2  69   1   0|1094M  826M  220M 5580M|1417k   17k|   0  5134k|   0   191 |2128  1509 |1.16 0.76 0.58|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:29 ubuntu dstat.sh[96548]: 18-07 02:18:29| 32   3  64   1   0|1053M  866M  220M 5582M| 729k   12k|   0  6765k|   0   283 |2433  2923 |1.23 0.79 0.59|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:30 ubuntu dstat.sh[96548]: 18-07 02:18:30| 28   2  70   0   0|1097M  821M  220M 5582M| 102k 6199 |   0   480k|   0  19.0 |1242  1332 |1.23 0.79 0.59|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:31 ubuntu dstat.sh[96548]: 18-07 02:18:31| 16  14  69   0   0|1016M  902M  220M 5582M|  82k 5629 |   0   416k|   0  8.99 |2331  3631 |1.23 0.79 0.59|1.0   0 266|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:32 ubuntu dstat.sh[96548]: 18-07 02:18:32| 13  21  65   0   0|1016M  902M  220M 5582M| 280k 7130 |   0   856k|   0  22.0 |2777  4340 |1.23 0.79 0.59|1.0   0 369|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:33 ubuntu dstat.sh[96548]: 18-07 02:18:33| 29  21  50   0   0|1040M  875M  220M 5584M|  81k 4540 |   0    33M|   0   109 |4854  9634 |1.23 0.79 0.59| 11 2.0 150|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:34 ubuntu dstat.sh[96548]: 18-07 02:18:34| 51  12  31   5   1|1146M  762M  221M 5590M| 869k 8399 | 324k  988k|4.00  4.00 |2200  2664 |1.37 0.82 0.60|3.0   0 120|   0     0 |   0     0 |  9    7    0    9    2
Jul 18 02:18:35 ubuntu dstat.sh[96548]: 18-07 02:18:35| 53   5  41   1   0|1228M  679M  221M 5591M| 109k 7814 | 372k 1195k|8.00  11.0 |1557  5756 |1.37 0.82 0.60|3.0   0  32|   0     0 |   0     0 |  9    7    0    9    2
Jul 18 02:18:36 ubuntu dstat.sh[96548]: 18-07 02:18:36| 53   7  39   0   0|1242M  661M  221M 5595M| 944k   13k|   0  1828k|   0  21.0 |3931  9469 |1.37 0.82 0.60|2.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 18 02:18:37 ubuntu dstat.sh[96548]: 18-07 02:18:37| 26  11  60   1   0|1276M  625M  221M 5596M|  50k 6215 |   0  1039k|   0  38.0 |2815  5260 |1.37 0.82 0.60|1.0   0 141|   0     0 |   0     0 |  9    6    0   10    2
Jul 18 02:18:38 ubuntu dstat.sh[96548]: 18-07 02:18:38| 27   2  70   1   0|1323M  578M  221M 5596M| 190k 6688 |   0  9735k|   0   307 |1550  1323 |1.37 0.82 0.60|1.0 1.0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 18 02:18:39 ubuntu dstat.sh[96548]: 18-07 02:18:39| 30   1  67   1   0|1343M  558M  221M 5597M| 391k   33k|   0   883k|   0  37.0 |1555  2160 |1.34 0.83 0.60|1.0   0 2.0|   0     0 |   0     0 |  9   12    0   10    2
Jul 18 02:18:40 ubuntu dstat.sh[96548]: 18-07 02:18:40| 26   4  66   2   0|1261M  639M  221M 5597M| 154k   43k|   0  3476k|   0   269 |2995  4521 |1.34 0.83 0.60|2.0   0  43|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 02:18:41 ubuntu dstat.sh[96548]: 18-07 02:18:41| 24   3  67   5   0|1276M  624M  221M 5598M| 223k 6232 |  60k  536k|9.00  14.0 |1446  1611 |1.34 0.83 0.60|2.0 1.0 4.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 02:18:42 ubuntu dstat.sh[96548]: 18-07 02:18:42| 28   2  63   6   0|1295M  604M  221M 5598M| 105k   80k|  28k 1176k|3.00  19.0 |1545  2081 |1.34 0.83 0.60|2.0   0 6.0|   0     0 |   0     0 |  9   18    0   13    2
Jul 18 02:18:43 ubuntu dstat.sh[96548]: 18-07 02:18:43| 26   3  66   6   0|1249M  650M  221M 5598M| 133k   52k| 216k 4680k|54.0  44.0 |1845  2382 |1.34 0.83 0.60|2.0   0  34|   0     0 |   0     0 |  9   32    0   13    2
Jul 18 02:18:44 ubuntu dstat.sh[96548]: 18-07 02:18:44| 36   6  57   0   0|1313M  584M  221M 5599M|  30k 2795 |   0   312k|   0  6.00 |1377  1449 |1.39 0.85 0.61|2.0   0  17|   0     0 |   0     0 |  9   32    0   13    2
Jul 18 02:18:45 ubuntu dstat.sh[96548]: 18-07 02:18:45| 44  13  43   0   0|1266M  627M  222M 5601M|  67k   61k|   0    64k|   0  13.0 |2756  4422 |1.39 0.85 0.61|3.0   0 161|   0     0 |   0     0 |  9   32    0   13    2
Jul 18 02:18:46 ubuntu dstat.sh[96548]: 18-07 02:18:46| 62  10  25   3   0|1366M  515M  222M 5613M|9252  2268 |   0  1880k|   0  46.0 |1714  1582 |1.39 0.85 0.61|2.0 1.0 2.0|   0     0 |   0     0 |  9   32    0   13    2
Jul 18 02:18:47 ubuntu dstat.sh[96548]: 18-07 02:18:47| 58   9  27   4   0|1330M  535M  223M 5626M| 713k  703k|  28k 3169k|2.00   134 |5955    12k|1.39 0.85 0.61|3.0 1.0  33|   0     0 |   0     0 |  9   37    0   12    2
Jul 18 02:18:48 ubuntu dstat.sh[96548]: 18-07 02:18:48| 75  20   4   0   0|1396M  456M  224M 5636M|  13k 3994 |   0  3059k|   0   114 |2658  4478 |1.39 0.85 0.61|6.0   0 395|   0     0 |   0     0 |  9   36    0   12    2
Jul 18 02:18:49 ubuntu dstat.sh[96548]: 18-07 02:18:49| 84  14   0   0   0|1521M  320M  224M 5646M| 329k  321k|   0    13M|   0   147 |3650  6366 |1.76 0.93 0.64|8.0   0 140|   0     0 |   0     0 |  9   38    0   11    2
Jul 18 02:18:50 ubuntu dstat.sh[96548]: 18-07 02:18:50| 86  12   1   0   0|1489M  335M  225M 5661M| 631k  622k|   0  1803k|   0   102 |4895  9076 |1.76 0.93 0.64|8.0   0  77|   0     0 |   0     0 |  9   37    0   11    2
Jul 18 02:18:51 ubuntu dstat.sh[96548]: 18-07 02:18:51| 59  12  27   1   0|1341M  477M  225M 5665M| 232k  225k|   0  4442k|   0   224 |3704  7038 |1.76 0.93 0.64|1.0   0 198|   0     0 |   0     0 |  9   38    0   11    2
Jul 18 02:18:52 ubuntu dstat.sh[96548]: 18-07 02:18:52| 22   6  72   0   0|1300M  518M  225M 5666M| 151k  132k|   0   548k|   0  37.0 |2179  3971 |1.76 0.93 0.64|1.0   0  64|   0     0 |   0     0 |  9   37    0   11    2
Jul 18 02:18:53 ubuntu dstat.sh[96548]: 18-07 02:18:53| 38   6  55   0   0|1290M  548M  225M 5646M|  60k   52k|   0   947k|   0  26.0 |1444  1951 |1.76 0.93 0.64|3.0   0 3.0|   0     0 |   0     0 |  9   34    0   11    1
Jul 18 02:18:54 ubuntu dstat.sh[96548]: 18-07 02:18:54| 43  12  44   0   0|1277M  560M  225M 5647M| 171k  162k|   0  3916k|   0   180 |7375    16k|1.78 0.95 0.65|2.0   0  81|   0     0 |   0     0 |  9   34    0   11    0
Jul 18 02:18:55 ubuntu dstat.sh[96548]: 18-07 02:18:55| 45   6  49   0   0|1301M  536M  225M 5647M|  59k   51k|   0    80k|   0  1.00 |1654  2049 |1.78 0.95 0.65|2.0   0 7.0|   0     0 |   0     0 |  9   34    0   11    0
Jul 18 02:18:56 ubuntu dstat.sh[96548]: 18-07 02:18:56| 42  14  44   1   0|1262M  575M  225M 5647M| 164k  155k|   0  2505k|   0  70.0 |9207    21k|1.78 0.95 0.65|3.0   0 155|   0     0 |   0     0 |  9   34    0   11    0
Jul 18 02:18:57 ubuntu dstat.sh[96548]: 18-07 02:18:57| 32  28  40   0   0|1220M  617M  225M 5647M|9782  1772 |   0   272k|   0  15.0 |2903  4902 |1.78 0.95 0.65|5.0   0 556|   0     0 |   0     0 |  9   34    0   11    0
Jul 18 02:18:58 ubuntu dstat.sh[96548]: 18-07 02:18:58| 81  18   0   0   0|1363M  474M  225M 5647M|  11k 2267 |   0   292k|   0  17.0 |1968  3148 |1.78 0.95 0.65|6.0   0 316|   0     0 |   0     0 |  9   34    0   11    0
Jul 18 02:18:59 ubuntu dstat.sh[96548]: 18-07 02:18:59| 87  12   0   0   0|1484M  353M  225M 5647M| 561k  554k|   0   240k|   0  17.0 |3234  7041 |2.12 1.03 0.68|5.0   0  49|   0     0 |   0     0 |  9   37    0   11    0
Jul 18 02:19:00 ubuntu dstat.sh[96548]: 18-07 02:19:00| 87   9   2   0   0|1442M  395M  225M 5647M| 907k  898k|   0   744k|   0  73.0 |5627    12k|2.12 1.03 0.68|6.0   0  64|   0     0 |   0     0 |  9   36    0   11    0
Jul 18 02:19:01 ubuntu dstat.sh[96548]: 18-07 02:19:01| 86  13   1   0   0|1371M  466M  225M 5647M| 451k  442k|   0   536k|   0  48.0 |3570  6896 |2.12 1.03 0.68|6.0   0 191|   0     0 |   0     0 |  9   35    0   11    0
Jul 18 02:19:02 ubuntu dstat.sh[96548]: 18-07 02:19:02| 85  14   1   0   0|1500M  337M  225M 5647M| 998k  987k|   0   516k|   0  45.0 |5971    14k|2.12 1.03 0.68|4.0   0 119|   0     0 |   0     0 |  9   38    0   11    0
Jul 18 02:19:03 ubuntu dstat.sh[96548]: 18-07 02:19:03| 82  12   5   0   0|1443M  393M  225M 5648M|1254k 1246k|   0   588k|   0  44.0 |6207    17k|2.12 1.03 0.68|4.0   0 100|   0     0 |   0     0 |  9   35    0   14    0
Jul 18 02:19:04 ubuntu dstat.sh[96548]: 18-07 02:19:04| 49  12  36   1   0|1222M  614M  225M 5648M| 649k  639k|   0  3235k|   0   229 |5323    11k|2.27 1.08 0.70|2.0   0 201|   0     0 |   0     0 |  9   34    0   14    0
Jul 18 02:19:05 ubuntu dstat.sh[96548]: 18-07 02:19:05| 44   7  49   0   0|1317M  519M  225M 5648M|  69k   52k|   0   140k|   0  7.00 |1559  1929 |2.27 1.08 0.70|2.0   0 1.0|   0     0 |   0     0 |  9   34    0   14    0
Jul 18 02:19:06 ubuntu dstat.sh[96548]: 18-07 02:19:06| 44  14  42   1   0|1269M  566M  225M 5648M| 602k  594k|   0   585k|   0  57.1 |5242    11k|2.27 1.08 0.70|5.0   0 241|   0     0 |   0     0 |  9   35    0   17    0
Jul 18 02:19:07 ubuntu dstat.sh[96548]: 18-07 02:19:07| 70  13  16   0   0|1352M  483M  225M 5648M| 144k  136k|   0   216k|   0  8.98 |1970  3338 |2.27 1.08 0.70|4.0   0 141|   0     0 |   0     0 |  9   34    0   17    0
Jul 18 02:19:08 ubuntu dstat.sh[96548]: 18-07 02:19:08| 62   8  31   0   0|1320M  515M  225M 5649M| 843k  836k|   0   533k|   0  51.1 |4287    11k|2.27 1.08 0.70|6.0   0  52|   0     0 |   0     0 |  9   36    0   21    0
Jul 18 02:19:09 ubuntu dstat.sh[96548]: 18-07 02:19:09| 79  16   3   0   1|1361M  473M  225M 5649M| 213k  205k|   0  8583k|   0   396 |3321  5860 |2.41 1.13 0.71|6.0   0 213|   0     0 |   0     0 |  9   34    0   21    0
Jul 18 02:19:10 ubuntu dstat.sh[96548]: 18-07 02:19:10| 78   9  14   0   0|1444M  390M  226M 5649M| 813k  806k|   0   528k|   0  53.0 |5609    11k|2.41 1.13 0.71|6.0   0   0|   0     0 |   0     0 |  9   37    0   18    0
Jul 18 02:19:11 ubuntu dstat.sh[96548]: 18-07 02:19:11| 75  16   8   0   0|1413M  421M  226M 5650M| 945k  930k|   0   696k|   0  57.0 |5647    13k|2.41 1.13 0.71|7.0   0 229|   0     0 |   0     0 |  9   35    0   20    0
Jul 18 02:19:12 ubuntu dstat.sh[96548]: 18-07 02:19:12| 72   9  18   0   0|1383M  451M  226M 5650M| 249k  242k|   0   276k|   0  18.0 |2543  4658 |2.41 1.13 0.71|6.0 1.0 102|   0     0 |   0     0 |  9   36    0   20    0
Jul 18 02:19:13 ubuntu dstat.sh[96548]: 18-07 02:19:13| 63  16  20   1   0|1325M  509M  226M 5650M| 969k  960k|   0   705k|   0  61.1 |6587    14k|2.41 1.13 0.71|5.0   0 254|   0     0 |   0     0 |  9   34    0   20    0
Jul 18 02:19:14 ubuntu dstat.sh[96548]: 18-07 02:19:14| 69   9  20   0   0|1385M  449M  226M 5650M| 162k  153k|   0  1434k|   0  22.0 |2268  3186 |2.54 1.18 0.73|4.0   0  51|   0     0 |   0     0 |  9   34    0   21    0
Jul 18 02:19:15 ubuntu dstat.sh[96548]: 18-07 02:19:15| 63  15  22   0   0|1308M  525M  226M 5650M| 923k  916k|   0   621k|   0  55.1 |6673    14k|2.54 1.18 0.73|4.0   0 241|   0     0 |   0     0 |  9   35    0   23    0
Jul 18 02:19:16 ubuntu dstat.sh[96548]: 18-07 02:19:16| 70  11  19   0   0|1381M  452M  226M 5650M| 145k  126k|   0   248k|   0  16.0 |2060  2990 |2.54 1.18 0.73|4.0 1.0  52|   0     0 |   0     0 |  9   36    0   23    0
Jul 18 02:19:17 ubuntu dstat.sh[96548]: 18-07 02:19:17| 62   9  27   1   0|1290M  543M  226M 5650M| 827k  817k|   0   591k|   0  58.9 |5500    13k|2.54 1.18 0.73|4.0   0  84|   0     0 |   0     0 |  9   34    0   28    0
Jul 18 02:19:18 ubuntu dstat.sh[96548]: 18-07 02:19:18| 66   9  24   0   0|1367M  466M  226M 5651M|  60k   52k|   0   236k|   0  18.0 |1956  2349 |2.54 1.18 0.73|5.0   0  33|   0     0 |   0     0 |  9   34    0   29    0
Jul 18 02:19:19 ubuntu dstat.sh[96548]: 18-07 02:19:19| 67  13  18   1   0|1357M  475M  226M 5651M| 848k  838k|   0    49M|   0   262 |5834    13k|2.73 1.24 0.75|7.0   0 217|   0     0 |   0     0 |  9   34    0   30    0
Jul 18 02:19:20 ubuntu dstat.sh[96548]: 18-07 02:19:20| 85  15   1   0   0|1402M  431M  226M 5651M|  55k   47k|   0   240k|   0  16.0 |2213  3550 |2.73 1.24 0.75|8.0   0 252|   0     0 |   0     0 |  9   34    0   30    0
Jul 18 02:19:21 ubuntu dstat.sh[96548]: 18-07 02:19:21| 86  12   0   0   0|1396M  437M  226M 5651M| 508k  500k|   0   679k|   0  52.9 |4761  9495 |2.73 1.24 0.75| 11   0 182|   0     0 |   0     0 |  9   36    0   30    0
Jul 18 02:19:22 ubuntu dstat.sh[96548]: 18-07 02:19:22| 86  13   0   0   0|1414M  418M  226M 5651M| 298k  289k|   0   572k|   0  40.0 |3572  6572 |2.73 1.24 0.75|6.0 1.0 199|   0     0 |   0     0 |  9   35    0   28    0
Jul 18 02:19:23 ubuntu dstat.sh[96548]: 18-07 02:19:23| 86  12   1   0   0|1421M  411M  226M 5651M| 377k  368k|   0   473k|   0  39.1 |3823  7058 |2.73 1.24 0.75|9.0   0 150|   0     0 |   0     0 |  9   36    0   28    0
Jul 18 02:19:24 ubuntu dstat.sh[96548]: 18-07 02:19:24| 78  16   5   0   0|1488M  343M  226M 5652M|1293k 1286k|   0    21M|   0   119 |5857    19k|2.92 1.31 0.78|6.0   0 231|   0     0 |   0     0 |  9   37    0   28    0
Jul 18 02:19:25 ubuntu dstat.sh[96548]: 18-07 02:19:25| 66  20  11   0   0|1327M  504M  226M 5652M| 755k  744k|   0   980k|   0  33.0 |5184    12k|2.92 1.31 0.78|4.0   0 461|   0     0 |   0     0 |  9   36    0   28    0
Jul 18 02:19:26 ubuntu dstat.sh[96548]: 18-07 02:19:26| 38  24  37   1   0|1260M  571M  226M 5652M| 603k  594k|   0   548k|   0  29.0 |4712    11k|2.92 1.31 0.78|4.0   0 544|   0     0 |   0     0 |  9   34    0   28    0
Jul 18 02:19:27 ubuntu dstat.sh[96548]: 18-07 02:19:27| 10  26  64   0   0|1197M  634M  226M 5652M|  13k 1854 |   0   212k|   0  12.0 |2844  4538 |2.92 1.31 0.78|3.0   0 494|   0     0 |   0     0 |  9   34    0   28    0
Jul 18 02:19:28 ubuntu dstat.sh[96548]: 18-07 02:19:28| 61  27  13   0   0|1329M  502M  226M 5652M|8583  2269 |   0   212k|   0  18.0 |2572  5551 |2.92 1.31 0.78|7.0   0 717|   0     0 |   0     0 |  9   34    0   28    0
Jul 18 02:19:29 ubuntu dstat.sh[96548]: 18-07 02:19:29| 85  13   1   0   0|1464M  366M  226M 5652M| 458k  450k|   0   500k|   0  37.0 |3859  7500 |3.16 1.38 0.81|6.0   0 209|   0     0 |   0     0 |  9   36    0   28    0
Jul 18 02:19:30 ubuntu dstat.sh[96548]: 18-07 02:19:30| 81  13   3   0   0|1318M  513M  226M 5652M| 752k  741k|   0  1028k|   0   106 |5695    13k|3.16 1.38 0.81|6.0   0 236|   0     0 |   0     0 |  9   34    0   29    0
Jul 18 02:19:31 ubuntu dstat.sh[96548]: 18-07 02:19:31| 86  13   1   0   0|1418M  412M  226M 5653M| 369k  358k|   0   360k|   0  30.0 |3723  6400 |3.16 1.38 0.81|6.0   0  99|   0     0 |   0     0 |  9   35    0   29    0
Jul 18 02:19:32 ubuntu dstat.sh[96548]: 18-07 02:19:32| 81   9   9   0   0|1503M  327M  226M 5653M|1167k 1155k|   0   456k|   0  39.0 |6938    15k|3.16 1.38 0.81|4.0   0 8.0|   0     0 |   0     0 |  9   38    0   33    0
Jul 18 02:19:33 ubuntu dstat.sh[96548]: 18-07 02:19:33| 53   6  38   0   0|1509M  320M  226M 5653M|1294k 1286k|   0   548k|   0  55.0 |7722    17k|3.16 1.38 0.81|5.0   0   0|   0     0 |   0     0 |  9   38    0   39    0
Jul 18 02:19:34 ubuntu dstat.sh[96548]: 18-07 02:19:34| 72  12  15   0   0|1438M  391M  226M 5654M|1084k 1075k|   0  2401k|   0   172 |6865    17k|3.07 1.39 0.81|9.0   0  99|   0     0 |   0     0 |  9   36    0   41    0
Jul 18 02:19:35 ubuntu dstat.sh[96548]: 18-07 02:19:35| 83  15   1   0   0|1414M  415M  226M 5654M| 410k  399k|   0   727k|   0  42.0 |3845  6912 |3.07 1.39 0.81|8.0   0  97|   0     0 |   0     0 |  9   35    0   41    0
Jul 18 02:19:36 ubuntu dstat.sh[96548]: 18-07 02:19:36| 84  11   6   0   0|1512M  317M  226M 5654M| 814k  803k|   0   365k|   0  33.0 |5188    17k|3.07 1.39 0.81|5.0   0  34|   0     0 |   0     0 |  9   38    0   42    0
Jul 18 02:19:37 ubuntu dstat.sh[96548]: 18-07 02:19:37| 53   5  40   0   0|1514M  314M  226M 5655M|1332k 1324k|   0   487k|   0  46.9 |6829    17k|3.07 1.39 0.81|4.0   0   0|   0     0 |   0     0 |  9   39    0   48    0
Jul 18 02:19:38 ubuntu dstat.sh[96548]: 18-07 02:19:38| 50   8  40   0   0|1454M  374M  226M 5655M|1193k 1177k|   0   397k|   0  36.1 |6524    15k|3.07 1.39 0.81|7.0   0  34|   0     0 |   0     0 |  9   38    0   53    0
Jul 18 02:19:39 ubuntu dstat.sh[96548]: 18-07 02:19:39| 83  12   6   0   0|1470M  357M  226M 5655M|1269k 1262k|   0   536k|   0  59.0 |4157    17k|3.22 1.45 0.84|5.0   0  70|   0     0 |   0     0 |  9   37    0   54    0
Jul 18 02:19:40 ubuntu dstat.sh[96548]: 18-07 02:19:40| 84  14   1   0   0|1395M  431M  226M 5657M| 716k  709k|   0  2068k|   0  87.0 |3071    11k|3.22 1.45 0.84|6.0   0 214|   0     0 |   0     0 |  9   36    0   54    0
Jul 18 02:19:41 ubuntu dstat.sh[96548]: 18-07 02:19:41| 87  11   3   0   0|1511M  313M  226M 5658M| 934k  919k|   0   424k|   0  36.0 |4434    11k|3.22 1.45 0.84|3.0   0   0|   0     0 |   0     0 |  9   39    0   52    0
Jul 18 02:19:42 ubuntu dstat.sh[96548]: 18-07 02:19:42| 74   9  16   0   0|1479M  345M  226M 5658M|1312k 1299k|   0   727k|   0  78.9 |6551    17k|3.22 1.45 0.84|6.0   0  34|   0     0 |   0     0 |  9   37    0   54    0
Jul 18 02:19:43 ubuntu dstat.sh[96548]: 18-07 02:19:43| 83  15   1   0   0|1387M  437M  226M 5658M| 166k  155k|   0   240k|   0  16.0 |3046  4898 |3.22 1.45 0.84|5.0   0 210|   0     0 |   0     0 |  9   34    0   53    0
Jul 18 02:19:44 ubuntu dstat.sh[96548]: 18-07 02:19:44| 84  13   2   0   0|1441M  383M  226M 5659M| 961k  948k|   0   572k|   0  56.0 |5467    12k|3.37 1.51 0.86|5.0   0  42|   0     0 |   0     0 |  9   37    0   53    0
Jul 18 02:19:45 ubuntu dstat.sh[96548]: 18-07 02:19:45| 86  11   3   0   0|1474M  349M  226M 5659M|1367k 1359k|   0  2830k|   0  72.9 |5402    17k|3.37 1.51 0.86|5.0   0  88|   0     0 |   0     0 |  9   36    0   53    0
Jul 18 02:19:46 ubuntu dstat.sh[96548]: 18-07 02:19:46| 83  14   3   0   0|1467M  356M  226M 5659M| 987k  979k|   0   621k|   0  54.0 |5708    15k|3.37 1.51 0.86|5.0   0  97|   0     0 |   0     0 |  9   36    0   54    0
Jul 18 02:19:47 ubuntu dstat.sh[96548]: 18-07 02:19:47| 83  12   3   0   0|1384M  439M  226M 5660M| 964k  955k|   0   504k|   0  46.0 |5416    12k|3.37 1.51 0.86|6.0   0 111|   0     0 |   0     0 |  9   36    0   55    0
Jul 18 02:19:48 ubuntu dstat.sh[96548]: 18-07 02:19:48| 88  11   1   0   0|1470M  353M  226M 5660M| 803k  796k|   0   427k|   0  35.0 |4362    11k|3.37 1.51 0.86|5.0   0  47|   0     0 |   0     0 |  9   36    0   55    0
Jul 18 02:19:49 ubuntu dstat.sh[96548]: 18-07 02:19:49| 77  10  13   0   0|1459M  363M  226M 5660M|1088k 1081k|   0   444k|   0  38.0 |5904    15k|3.50 1.57 0.88|6.0   0  61|   0     0 |   0     0 |  9   36    0   57    0
Jul 18 02:19:50 ubuntu dstat.sh[96548]: 18-07 02:19:50| 80  13   5   0   0|1360M  462M  226M 5660M| 855k  847k|   0  8950k|   0   259 |6185    13k|3.50 1.57 0.88|5.0   0 161|   0     0 |   0     0 |  9   35    0   56    0
Jul 18 02:19:51 ubuntu dstat.sh[96548]: 18-07 02:19:51| 83  14   3   0   0|1426M  396M  226M 5661M| 565k  558k|   0   400k|   0  27.0 |4226  8888 |3.50 1.57 0.88|4.0   0 100|   0     0 |   0     0 |  9   35    0   56    0
