-- Logs begin at Sat 2023-08-05 00:30:40 UTC, end at Sat 2023-08-05 02:02:27 UTC. --
Aug 05 01:25:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 01:25:59 ubuntu dstat.sh[106609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 01:25:59 ubuntu dstat.sh[106609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 01:26:17 ubuntu dstat.sh[106609]: 05-08 01:26:17| 29   3  66   2   0|1073M  819M  203M 5624M|  60k 6824 |   0    16M|   0   456 |2310  2556 |1.34 0.75 0.57|1.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 01:26:18 ubuntu dstat.sh[106609]: 05-08 01:26:18| 23   4  71   1   0|1142M  750M  203M 5624M| 177k 6814 |   0   744k|   0  19.0 |1154  1257 |1.34 0.75 0.57|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 01:26:19 ubuntu dstat.sh[106609]: 05-08 01:26:19| 27   3  69   0   0|1063M  825M  203M 5628M|1777k   31k|   0   456k|   0  12.0 |1972  1498 |1.34 0.75 0.57|1.0   0  32|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 01:26:20 ubuntu dstat.sh[106609]: 05-08 01:26:20| 22  18  58   1   0|1012M  875M  203M 5629M| 346k 8924 |   0  2464k|   0  18.0 |2804  4252 |1.34 0.75 0.57|1.0   0 356|   0     0 |   0     0 |  9    6    0   10    2
Aug 05 01:26:21 ubuntu dstat.sh[106609]: 05-08 01:26:21| 16  20  63   1   0|1014M  873M  203M 5629M|  69k 5953 |   0   656k|   0  19.0 |3228  5272 |1.34 0.75 0.57|1.0   0 318|   0     0 |   0     0 |  9    6    0   10    2
Aug 05 01:26:22 ubuntu dstat.sh[106609]: 05-08 01:26:22| 32  19  48   0   0|1075M  811M  203M 5630M| 101k 6461 | 196k  788k|3.00  17.0 |3571  5847 |1.40 0.77 0.58|2.0   0 192|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:23 ubuntu dstat.sh[106609]: 05-08 01:26:23| 50   5  45   0   0|1162M  722M  203M 5631M| 677k 7867 | 128k  996k|1.00  9.00 |1490  1313 |1.40 0.77 0.58|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:24 ubuntu dstat.sh[106609]: 05-08 01:26:24| 54   3  41   1   0|1209M  673M  203M 5634M|1049k   11k| 372k 1768k|8.00  35.0 |1989  1682 |1.40 0.77 0.58|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:25 ubuntu dstat.sh[106609]: 05-08 01:26:25| 49   8  41   1   0|1239M  639M  204M 5637M| 529k 7196 |   0  1910k|   0  53.1 |3230  7269 |1.40 0.77 0.58|1.0   0  10|   0     0 |   0     0 |  9    6    0   11    2
Aug 05 01:26:26 ubuntu dstat.sh[106609]: 05-08 01:26:26| 24   9  66   1   0|1277M  600M  204M 5637M|  93k 6705 |   0   824k|   0  12.0 |2135  3407 |1.40 0.77 0.58|2.0   0 132|   0     0 |   0     0 |  9    6    0   11    2
Aug 05 01:26:27 ubuntu dstat.sh[106609]: 05-08 01:26:27| 27   2  71   0   1|1322M  555M  204M 5638M| 298k 5786 |   0   556k|   0  9.00 |1208  1208 |1.37 0.78 0.58|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Aug 05 01:26:28 ubuntu dstat.sh[106609]: 05-08 01:26:28| 32   4  61   2   0|1342M  532M  204M 5639M| 144k   70k|   0    38M|   0   317 |3234  5175 |1.37 0.78 0.58|1.0   0 5.0|   0     0 |   0     0 |  9   12    0   11    2
Aug 05 01:26:29 ubuntu dstat.sh[106609]: 05-08 01:26:29| 31   8  59   1   0|1266M  602M  204M 5645M| 886k 7199 |   0  7913k|   0   353 |2621  3383 |1.37 0.78 0.58|2.0   0  47|   0     0 |   0     0 |  9    6    0   13    2
Aug 05 01:26:30 ubuntu dstat.sh[106609]: 05-08 01:26:30| 26   4  68   3   0|1285M  581M  205M 5646M| 115k   11k| 120k 2192k|20.0  51.0 |1409  1927 |1.37 0.78 0.58|3.0   0 2.0|   0     0 |   0     0 |  9   11    0   11    2
Aug 05 01:26:31 ubuntu dstat.sh[106609]: 05-08 01:26:31| 25   2  66   6   0|1301M  565M  205M 5646M| 542k  124k| 216k 1547k|54.0  23.0 |2091  3104 |1.37 0.78 0.58|2.0   0 5.0|   0     0 |   0     0 |  9   33    0   12    2
Aug 05 01:26:32 ubuntu dstat.sh[106609]: 05-08 01:26:32| 25   5  69   1   0|1278M  586M  205M 5648M| 576k 8057 |   0  1070k|   0  18.0 |1493  1728 |1.42 0.80 0.59|2.0   0  48|   0     0 |   0     0 |  9   32    0   13    2
Aug 05 01:26:33 ubuntu dstat.sh[106609]: 05-08 01:26:33| 24   4  71   0   0|1244M  620M  205M 5648M| 151k   65k|   0  4347k|   0  73.9 |1411  2020 |1.42 0.80 0.59|1.0   0  22|   0     0 |   0     0 |  9   32    0   13    2
Aug 05 01:26:34 ubuntu dstat.sh[106609]: 05-08 01:26:34| 43  12  45   0   0|1321M  542M  205M 5649M| 470k 6405 |   0   781k|   0  12.0 |1897  2190 |1.42 0.80 0.59|2.0   0 139|   0     0 |   0     0 |  9   32    0   13    2
Aug 05 01:26:35 ubuntu dstat.sh[106609]: 05-08 01:26:35| 47   6  45   1   0|1373M  490M  205M 5649M| 459k  434k|  28k  511k|1.99  15.0 |3026  7288 |1.42 0.80 0.59|3.0   0   0|   0     0 |   0     0 |  9   34    0   15    2
Aug 05 01:26:36 ubuntu dstat.sh[106609]: 05-08 01:26:36| 57  18  25   0   0|1332M  530M  205M 5649M| 461k  267k|   0   898k|   0  46.1 |3756  7311 |1.42 0.80 0.59|6.0   0 419|   0     0 |   0     0 |  9   32    0   15    2
Aug 05 01:26:37 ubuntu dstat.sh[106609]: 05-08 01:26:37| 87  13   0   0   0|1495M  367M  205M 5650M| 234k   98k|   0   404k|   0  14.0 |2516  3574 |1.86 0.90 0.62|6.0   0 146|   0     0 |   0     0 |  9   33    0   15    2
Aug 05 01:26:38 ubuntu dstat.sh[106609]: 05-08 01:26:38| 89   9   2   0   0|1607M  254M  205M 5650M| 748k  722k|   0    10M|   0   412 |5234    12k|1.86 0.90 0.62|5.0   0  30|   0     0 |   0     0 |  9   35    0   16    2
Aug 05 01:26:39 ubuntu dstat.sh[106609]: 05-08 01:26:39| 71  13  14   0   0|1330M  530M  205M 5651M| 715k  620k|   0   999k|   0  49.1 |4935    11k|1.86 0.90 0.62|1.0 1.0 251|   0     0 |   0     0 |  9   33    0   17    2
Aug 05 01:26:40 ubuntu dstat.sh[106609]: 05-08 01:26:40| 41  11  48   0   0|1316M  539M  205M 5655M|  18k 6115 |   0   308k|   0  24.0 |2375  3355 |1.86 0.90 0.62|2.0   0  67|   0     0 |   0     0 |  9   32    0   18    2
Aug 05 01:26:41 ubuntu dstat.sh[106609]: 05-08 01:26:41| 44   6  49   1   0|1330M  523M  206M 5656M| 200k  192k|   0  1073k|   0  27.0 |2295  4307 |1.86 0.90 0.62|2.0   0 2.0|   0     0 |   0     0 |  9   33    0   18    2
Aug 05 01:26:42 ubuntu dstat.sh[106609]: 05-08 01:26:42| 36   8  53   3   0|1306M  526M  206M 5674M|  29k   17k|   0  3146k|   0   129 |2187  3046 |1.87 0.92 0.63|2.0   0  72|   0     0 |   0     0 |  9   32    0   17    2
Aug 05 01:26:43 ubuntu dstat.sh[106609]: 05-08 01:26:43| 41   6  49   4   0|1338M  484M  207M 5681M| 168k  158k|   0  8959k|   0  68.9 |1889  3226 |1.87 0.92 0.63|3.0   0   0|   0     0 |   0     0 |  9   33    0   17    2
Aug 05 01:26:44 ubuntu dstat.sh[106609]: 05-08 01:26:44| 28  16  47   7   0|1275M  536M  208M 5690M|  59k   50k|   0  4024k|   0   165 |3270  5044 |1.87 0.92 0.63|2.0   0 317|   0     0 |   0     0 |  9   32    0   17    2
Aug 05 01:26:45 ubuntu dstat.sh[106609]: 05-08 01:26:45| 48  24  26   2   0|1344M  443M  208M 5712M|  10k 1622 |   0  1818k|   0  63.1 |2746  5046 |1.87 0.92 0.63|6.0   0 577|   0     0 |   0     0 |  9   32    0   17    2
Aug 05 01:26:46 ubuntu dstat.sh[106609]: 05-08 01:26:46| 86  13   0   0   0|1497M  284M  209M 5717M| 119k  102k|   0  1517k|   0  53.0 |3005    11k|1.87 0.92 0.63|5.0   0 185|   0     0 |   0     0 |  9   33    1   16    2
Aug 05 01:26:47 ubuntu dstat.sh[106609]: 05-08 01:26:47| 86  10   3   0   0|1541M  240M  209M 5717M|1014k 1000k|   0   344k|   0  13.0 |5849    15k|2.21 1.00 0.66|3.0   0  33|   0     0 |   0     0 |  9   37    0   17    2
Aug 05 01:26:48 ubuntu dstat.sh[106609]: 05-08 01:26:48| 82  11   5   0   0|1440M  360M  209M 5698M| 775k  766k|   0  2796k|   0  70.0 |5102    12k|2.21 1.00 0.66|7.0   0  80|   0     0 |   0     0 |  9   30    0   18    0
Aug 05 01:26:49 ubuntu dstat.sh[106609]: 05-08 01:26:49| 86  14   1   0   0|1467M  333M  209M 5698M| 433k  422k|   0   324k|   0  17.0 |3496  7467 |2.21 1.00 0.66|8.0   0 140|   0     0 |   0     0 |  9   31    0   18    0
Aug 05 01:26:50 ubuntu dstat.sh[106609]: 05-08 01:26:50| 83  16   0   0   0|1507M  293M  209M 5699M|1127k 1118k|   0   700k|   0  13.0 |8472    23k|2.21 1.00 0.66|6.0   0 140|   0     0 |   0     0 |  9   31    0   18    0
Aug 05 01:26:51 ubuntu dstat.sh[106609]: 05-08 01:26:51| 85  11   2   0   0|1426M  373M  209M 5699M| 913k  905k|   0  1740k|   0  16.0 |4034    13k|2.21 1.00 0.66|5.0   0 100|   0     0 |   0     0 |  9   32    0   18    0
Aug 05 01:26:52 ubuntu dstat.sh[106609]: 05-08 01:26:52| 65  14  18   0   0|1316M  483M  209M 5699M| 486k  476k|   0   764k|   0  33.0 |9129    21k|2.27 1.04 0.67|5.0   0 168|   0     0 |   0     0 |  9   30    0   18    0
Aug 05 01:26:53 ubuntu dstat.sh[106609]: 05-08 01:26:53| 66   8  25   0   0|1342M  457M  209M 5699M| 152k  141k|   0  3743k|   0   188 |2245  2804 |2.27 1.04 0.67|3.0   0 3.0|   0     0 |   0     0 |  9   32    0   18    0
Aug 05 01:26:54 ubuntu dstat.sh[106609]: 05-08 01:26:54| 66  19  14   0   0|1347M  451M  209M 5700M| 551k  542k|   0   472k|   0  29.0 |4617    10k|2.27 1.04 0.67|6.0   0 343|   0     0 |   0     0 |  9   31    0   19    0
Aug 05 01:26:55 ubuntu dstat.sh[106609]: 05-08 01:26:55| 89  11   1   0   0|1412M  386M  209M 5700M| 331k  321k|   0   240k|   0  8.00 |2882  5376 |2.27 1.04 0.67|4.0   0  53|   0     0 |   0     0 |  9   31    0   17    0
Aug 05 01:26:56 ubuntu dstat.sh[106609]: 05-08 01:26:56| 72  15  10   0   0|1266M  532M  209M 5700M| 830k  814k|   0   644k|   0  46.0 |5284    13k|2.27 1.04 0.67|4.0   0 314|   0     0 |   0     0 |  9   30    0   18    0
Aug 05 01:26:57 ubuntu dstat.sh[106609]: 05-08 01:26:57| 87  11   1   0   0|1441M  356M  209M 5700M| 243k  231k|   0   151k|   0  7.95 |2534  3734 |2.41 1.09 0.69|7.0   0 2.0|   0     0 |   0     0 |  9   32    0   20    0
Aug 05 01:26:58 ubuntu dstat.sh[106609]: 05-08 01:26:58| 59  12  27   0   0|1388M  410M  209M 5701M|1277k 1248k|   0  2550k|   0  98.5 |7644    17k|2.41 1.09 0.69|5.0   0 158|   0     0 |   0     0 |  9   32    0   21    0
Aug 05 01:26:59 ubuntu dstat.sh[106609]: 05-08 01:26:59| 76  13  12   0   0|1350M  447M  209M 5701M| 291k  273k|   0   452k|   0  21.0 |2741  5442 |2.41 1.09 0.69|3.0   0 172|   0     0 |   0     0 |  9   30    0   21    0
Aug 05 01:27:00 ubuntu dstat.sh[106609]: 05-08 01:27:00| 65  10  25   0   0|1324M  473M  209M 5701M| 830k  817k|   0   368k|   0  33.0 |5103    12k|2.41 1.09 0.69|5.0   0 151|   0     0 |   0     0 |  9   32    0   22    0
Aug 05 01:27:01 ubuntu dstat.sh[106609]: 05-08 01:27:01| 77  11  10   0   0|1332M  465M  209M 5701M| 397k  381k|   0   356k|   0  24.0 |3255  6390 |2.41 1.09 0.69|3.0   0 154|   0     0 |   0     0 |  9   30    0   22    0
Aug 05 01:27:02 ubuntu dstat.sh[106609]: 05-08 01:27:02| 68   8  25   0   0|1322M  475M  209M 5701M| 458k  449k|   0   356k|   0  29.0 |3602  6923 |2.46 1.12 0.70|4.0   0  38|   0     0 |   0     0 |  9   31    0   24    0
Aug 05 01:27:03 ubuntu dstat.sh[106609]: 05-08 01:27:03| 78  17   5   0   0|1312M  484M  209M 5701M| 699k  687k|   0  5699k|   0  88.0 |4119  9999 |2.46 1.12 0.70|4.0   0 207|   0     0 |   0     0 |  9   30    0   24    0
Aug 05 01:27:04 ubuntu dstat.sh[106609]: 05-08 01:27:04| 64   9  26   0   0|1383M  413M  209M 5701M| 417k  408k|   0   244k|   0  12.0 |3022  6200 |2.46 1.12 0.70|3.0   0  49|   0     0 |   0     0 |  9   32    0   24    0
Aug 05 01:27:05 ubuntu dstat.sh[106609]: 05-08 01:27:05| 65  10  25   1   0|1264M  533M  209M 5702M| 498k  488k|   0   420k|   0  40.0 |3777  8375 |2.46 1.12 0.70|3.0   0 116|   0     0 |   0     0 |  9   30    0   25    0
Aug 05 01:27:06 ubuntu dstat.sh[106609]: 05-08 01:27:06| 65   9  25   0   0|1370M  427M  209M 5702M| 162k  151k|   0   220k|   0  11.0 |2152  2787 |2.46 1.12 0.70|4.0   0 1.0|   0     0 |   0     0 |  9   31    0   25    0
Aug 05 01:27:07 ubuntu dstat.sh[106609]: 05-08 01:27:07| 66  17  17   0   0|1322M  474M  209M 5702M| 712k  703k|   0   376k|   0  40.1 |4720    11k|2.66 1.18 0.73|5.0   0 263|   0     0 |   0     0 |  9   31    0   27    0
Aug 05 01:27:08 ubuntu dstat.sh[106609]: 05-08 01:27:08| 86  13   0   0   0|1418M  378M  209M 5702M| 103k   95k|   0  1032k|   0   109 |2577  3686 |2.66 1.18 0.73|5.0   0 185|   0     0 |   0     0 |  9   31    0   27    0
Aug 05 01:27:09 ubuntu dstat.sh[106609]: 05-08 01:27:09| 83  16   1   0   0|1404M  392M  209M 5702M| 591k  581k|   0  4654k|   0  72.0 |5077    11k|2.66 1.18 0.73|7.0   0 200|   0     0 |   0     0 |  9   30    0   27    0
Aug 05 01:27:10 ubuntu dstat.sh[106609]: 05-08 01:27:10| 84  15   0   0   0|1436M  360M  209M 5702M| 206k  198k|   0   428k|   0  35.0 |3168  6589 |2.66 1.18 0.73|7.0   0 220|   0     0 |   0     0 |  9   31    0   27    0
Aug 05 01:27:11 ubuntu dstat.sh[106609]: 05-08 01:27:11| 85  13   2   0   0|1422M  373M  209M 5703M| 690k  682k|   0   360k|   0  23.0 |4539    11k|2.66 1.18 0.73|6.0   0 184|   0     0 |   0     0 |  9   32    0   28    0
Aug 05 01:27:12 ubuntu dstat.sh[106609]: 05-08 01:27:12| 80  15   3   0   0|1374M  421M  209M 5703M|1085k 1076k|   0   184k|   0  12.0 |6380    17k|2.93 1.26 0.75|5.0   0 290|   0     0 |   0     0 |  9   32    0   28    0
Aug 05 01:27:13 ubuntu dstat.sh[106609]: 05-08 01:27:13| 55  22  20   0   0|1263M  532M  209M 5703M| 998k  980k|   0   188k|   0  9.99 |5200    15k|2.93 1.26 0.75|2.0   0 606|   0     0 |   0     0 |  9   31    0   28    0
Aug 05 01:27:14 ubuntu dstat.sh[106609]: 05-08 01:27:14| 24  23  51   0   0|1195M  600M  209M 5703M| 237k  228k|   0    30M|   0   117 |3821  6826 |2.93 1.26 0.75|1.0   0 510|   0     0 |   0     0 |  9   30    0   28    0
Aug 05 01:27:15 ubuntu dstat.sh[106609]: 05-08 01:27:15| 22  28  49   0   0|1230M  564M  209M 5703M|  10k 1622 |   0   176k|   0  16.0 |2850  5098 |2.93 1.26 0.75|5.0   0 613|   0     0 |   0     0 |  9   30    0   28    0
Aug 05 01:27:16 ubuntu dstat.sh[106609]: 05-08 01:27:16| 78  22   0   0   0|1410M  385M  209M 5703M|  64k   57k|   0   160k|   0  14.0 |2227  4578 |2.93 1.26 0.75|6.0   0 479|   0     0 |   0     0 |  9   31    0   28    0
Aug 05 01:27:17 ubuntu dstat.sh[106609]: 05-08 01:27:17| 84  13   3   0   0|1362M  432M  209M 5703M| 883k  873k|   0   756k|   0  66.0 |5749    12k|3.09 1.33 0.78|5.0   0 177|   0     0 |   0     0 |  9   31    0   28    0
Aug 05 01:27:18 ubuntu dstat.sh[106609]: 05-08 01:27:18| 83  15   2   0   0|1404M  390M  209M 5703M| 439k  431k|   0  1632k|   0   104 |4894  8666 |3.09 1.33 0.78|5.0   0 200|   0     0 |   0     0 |  9   31    0   28    0
Aug 05 01:27:19 ubuntu dstat.sh[106609]: 05-08 01:27:19| 85  12   3   0   0|1459M  335M  209M 5704M| 865k  856k|   0    35M|   0   123 |5408    11k|3.09 1.33 0.78|6.0   0  69|   0     0 |   0     0 |  9   32    0   28    0
Aug 05 01:27:20 ubuntu dstat.sh[106609]: 05-08 01:27:20| 70   9  20   0   0|1505M  288M  209M 5704M|1461k 1455k|   0   116k|   0  7.99 |5665    17k|3.09 1.33 0.78|2.0   0   0|   0     0 |   0     0 |  9   35    0   31    0
Aug 05 01:27:21 ubuntu dstat.sh[106609]: 05-08 01:27:21| 84   8   7   0   0|1452M  341M  209M 5705M|1331k 1321k|   0   448k|   0  53.0 |3673    17k|3.09 1.33 0.78|5.0   0  64|   0     0 |   0     0 |  9   31    0   31    0
Aug 05 01:27:22 ubuntu dstat.sh[106609]: 05-08 01:27:22| 84  15   1   0   0|1422M  370M  209M 5705M| 495k  486k|   0   280k|   0  21.0 |3919  8512 |3.25 1.39 0.80|5.0   0 134|   0     0 |   0     0 |  9   31    0   31    0
Aug 05 01:27:23 ubuntu dstat.sh[106609]: 05-08 01:27:23| 79  10  10   0   0|1509M  284M  209M 5705M|1260k 1244k|   0   144k|   0  9.00 |5155    16k|3.25 1.39 0.80|5.0   0   0|   0     0 |   0     0 |  9   34    0   33    0
Aug 05 01:27:24 ubuntu dstat.sh[106609]: 05-08 01:27:24| 52   6  41   0   0|1512M  280M  209M 5706M|1164k 1156k|   0  1111k|   0  16.0 |7495    16k|3.25 1.39 0.80|2.0   0   0|   0     0 |   0     0 |  9   35    0   38    0
Aug 05 01:27:25 ubuntu dstat.sh[106609]: 05-08 01:27:25| 63  10  26   0   0|1470M  321M  209M 5706M|1032k 1020k|   0   283k|   0  9.98 |5538    13k|3.25 1.39 0.80|4.0   0 100|   0     0 |   0     0 |  9   32    0   44    1
Aug 05 01:27:26 ubuntu dstat.sh[106609]: 05-08 01:27:26| 83  11   5   0   0|1423M  369M  209M 5706M|1089k 1081k|   0   217k|   0  16.1 |6144    15k|3.25 1.39 0.80|5.0   0  77|   0     0 |   0     0 |  9   31    0   45    0
Aug 05 01:27:27 ubuntu dstat.sh[106609]: 05-08 01:27:27| 85  11   2   0   0|1400M  391M  209M 5706M| 648k  639k|   0   340k|   0  28.0 |4415    10k|3.39 1.45 0.82|6.0   0 130|   0     0 |   0     0 |  9   31    0   44    0
Aug 05 01:27:28 ubuntu dstat.sh[106609]: 05-08 01:27:28| 86  11   2   0   0|1470M  319M  209M 5709M| 864k  855k|   0   208k|   0  12.0 |5319    12k|3.39 1.45 0.82|6.0   0  79|   0     0 |   0     0 |  9   33    0   46    0
Aug 05 01:27:29 ubuntu dstat.sh[106609]: 05-08 01:27:29| 83  10   6   0   0|1434M  354M  209M 5709M|1278k 1269k|   0   340k|   0  25.0 |5673    14k|3.39 1.45 0.82|8.0   0  68|   0     0 |   0     0 |  9   33    0   46    0
Aug 05 01:27:30 ubuntu dstat.sh[106609]: 05-08 01:27:30| 83  13   4   0   0|1419M  369M  209M 5710M|1084k 1073k|   0   172k|   0  8.00 |6699    15k|3.39 1.45 0.82|6.0   0 100|   0     0 |   0     0 |  9   31    0   46    0
Aug 05 01:27:31 ubuntu dstat.sh[106609]: 05-08 01:27:31| 83  13   2   0   0|1430M  358M  209M 5710M| 912k  903k|   0   540k|   0  55.0 |5766    13k|3.39 1.45 0.82|6.0   0 108|   0     0 |   0     0 |  9   36    0   46    0
Aug 05 01:27:32 ubuntu dstat.sh[106609]: 05-08 01:27:32| 85  13   2   0   0|1471M  316M  209M 5710M| 919k  906k|   0   271k|   0  22.9 |4959    12k|3.52 1.51 0.85|5.0   0  64|   0     0 |   0     0 |  9   36    0   45    0
Aug 05 01:27:33 ubuntu dstat.sh[106609]: 05-08 01:27:33| 88  11   2   0   0|1494M  293M  209M 5711M|1522k 1512k|   0   237k|   0  15.0 |3263    18k|3.52 1.51 0.85|6.0   0  65|   0     0 |   0     0 |  9   37    0   45    0
Aug 05 01:27:34 ubuntu dstat.sh[106609]: 05-08 01:27:34| 86  11   2   0   0|1416M  371M  209M 5711M|1028k 1020k|   0    10M|   0   170 |6044    14k|3.52 1.51 0.85|8.0   0 106|   0     0 |   0     0 |  9   35    0   45    0
Aug 05 01:27:35 ubuntu dstat.sh[106609]: 05-08 01:27:35| 84  15   1   0   0|1458M  328M  209M 5711M| 497k  479k|   0   188k|   0  10.0 |3387  7264 |3.52 1.51 0.85|7.0   0 124|   0     0 |   0     0 |  9   36    0   45    0
Aug 05 01:27:36 ubuntu dstat.sh[106609]: 05-08 01:27:36| 80   9   8   0   0|1480M  306M  209M 5711M|1188k 1171k|   0   400k|   0  38.0 |5724    17k|3.52 1.51 0.85|5.0   0  69|   0     0 |   0     0 |  9   37    0   45    0
