-- Logs begin at Thu 2023-07-13 13:07:04 UTC, end at Thu 2023-07-13 14:59:11 UTC. --
Jul 13 14:23:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 13 14:23:13 ubuntu dstat.sh[82492]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 13 14:23:13 ubuntu dstat.sh[82492]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 13 14:23:23 ubuntu dstat.sh[82492]: 13-07 14:23:23| 10   4  62  23   0|1086M 1177M  197M 5270M|  84k   14k|   0    20M|   0  1427 |7625    13k|1.11 0.47 0.28|3.0   0 9.1|   0     0 |   0     0 |  9    8    0    9    2
Jul 13 14:23:24 ubuntu dstat.sh[82492]: 13-07 14:23:24| 19   7  56  17   0|1088M 1173M  198M 5273M|  87k   17k|   0    19M|   0  1633 |9983    20k|1.42 0.55 0.30|  0 2.0  67|   0     0 |   0     0 |  9    8    0    9    2
Jul 13 14:23:25 ubuntu dstat.sh[82492]: 13-07 14:23:25| 16   6  53  24   0|1091M 1166M  198M 5275M|  66k   13k|   0    28M|   0  2050 |9357    17k|1.42 0.55 0.30|2.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
Jul 13 14:23:26 ubuntu dstat.sh[82492]: 13-07 14:23:26| 23   6  64   7   0|1019M 1238M  199M 5275M|  62k   12k|   0    11M|   0   814 |4753  7830 |1.42 0.55 0.30|1.0   0  82|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:27 ubuntu dstat.sh[82492]: 13-07 14:23:27| 26   3  69   0   0|1079M 1178M  199M 5275M| 134k 6858 |   0   767k|   0  28.0 |1291  1353 |1.42 0.55 0.30|1.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:28 ubuntu dstat.sh[82492]: 13-07 14:23:28| 29   3  68   1   0|1017M 1237M  199M 5278M|1513k 8548 |   0  7074k|   0   229 |2201  2422 |1.42 0.55 0.30|1.0   0  13|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:29 ubuntu dstat.sh[82492]: 13-07 14:23:29| 28   3  67   0   0|1072M 1180M  199M 5279M| 615k 8920 |   0   912k|   0  16.0 |1341  1322 |1.54 0.59 0.32|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:30 ubuntu dstat.sh[82492]: 13-07 14:23:30| 27   3  69   0   0|1010M 1242M  199M 5279M| 105k 6398 |   0   368k|   0  9.00 |1285  1452 |1.54 0.59 0.32|2.0   0  32|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:31 ubuntu dstat.sh[82492]: 13-07 14:23:31| 14  18  66   1   1|1010M 1242M  199M 5280M|  82k 7001 |   0   556k|   0  16.0 |2692  4255 |1.54 0.59 0.32|2.0   0 360|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:32 ubuntu dstat.sh[82492]: 13-07 14:23:32| 14  21  63   0   0|1012M 1239M  199M 5280M| 275k 5456 |   0   677k|   0  16.0 |3697  6320 |1.54 0.59 0.32|1.0   0 316|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:33 ubuntu dstat.sh[82492]: 13-07 14:23:33| 34  19  38   9   0|1048M 1201M  199M 5282M|  83k 4553 | 196k   38M|3.00   452 |4951  8970 |1.54 0.59 0.32|3.0   0 169|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:34 ubuntu dstat.sh[82492]: 13-07 14:23:34| 55   9  36   0   0|1165M 1077M  199M 5288M| 870k 6716 | 128k  937k|1.00  3.00 |1732  1592 |1.58 0.61 0.33|3.0   0  19|   0     0 |   0     0 |  9    7    0    9    2
Jul 13 14:23:35 ubuntu dstat.sh[82492]: 13-07 14:23:35| 46   5  44   4   0|1198M 1042M  200M 5289M| 113k 6884 | 372k 1430k|7.99  47.9 |1665  1555 |1.58 0.61 0.33|3.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jul 13 14:23:36 ubuntu dstat.sh[82492]: 13-07 14:23:36| 50   9  40   0   0|1229M 1006M  200M 5293M| 939k   12k|   0  2490k|   0  48.0 |2412  6329 |1.58 0.61 0.33|1.0 1.0  71|   0     0 |   0     0 |  9    6    0   10    2
Jul 13 14:23:37 ubuntu dstat.sh[82492]: 13-07 14:23:37| 25   8  67   0   0|1277M  959M  200M 5293M|  49k 5975 |   0   416k|   0  10.0 |1906  2915 |1.58 0.61 0.33|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Jul 13 14:23:38 ubuntu dstat.sh[82492]: 13-07 14:23:38| 25   3  71   0   1|1314M  921M  200M 5293M|  89k 6167 |   0  4545k|   0  35.0 |1242  1282 |1.58 0.61 0.33|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 13 14:23:39 ubuntu dstat.sh[82492]: 13-07 14:23:39| 26   3  67   2   0|1333M  902M  200M 5294M| 187k   68k|   0  1676k|   0   170 |2960  4898 |1.53 0.62 0.33|1.0   0 2.0|   0     0 |   0     0 |  9   12    0   10    2
Jul 13 14:23:40 ubuntu dstat.sh[82492]: 13-07 14:23:40| 31   5  62   1   0|1260M  975M  200M 5294M| 192k 8242 |   0  2672k|   0   137 |1715  2287 |1.53 0.62 0.33|1.0   0  45|   0     0 |   0     0 |  9    6    0   12    2
Jul 13 14:23:41 ubuntu dstat.sh[82492]: 13-07 14:23:41| 19   4  67   9   0|1290M  944M  200M 5294M| 146k 5050 | 120k 1017k|20.0  16.0 |1330  1613 |1.53 0.62 0.33|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 13 14:23:42 ubuntu dstat.sh[82492]: 13-07 14:23:42| 31   3  60   6   0|1293M  939M  200M 5295M| 116k   93k| 216k 1400k|54.0  22.0 |2088  3036 |1.53 0.62 0.33|2.0   0 4.0|   0     0 |   0     0 |  9   29    0   12    2
Jul 13 14:23:43 ubuntu dstat.sh[82492]: 13-07 14:23:43| 27   6  67   0   0|1275M  957M  200M 5295M| 122k   42k|   0  8986k|   0   197 |1948  2126 |1.53 0.62 0.33|1.0   0  47|   0     0 |   0     0 |  9   32    0   13    2
Jul 13 14:23:44 ubuntu dstat.sh[82492]: 13-07 14:23:44| 45   6  48   0   0|1321M  908M  200M 5298M|  82k   61k|   0   365k|   0  13.0 |1932  2659 |1.57 0.64 0.34|2.0   0 5.0|   0     0 |   0     0 |  9   32    0   13    2
Jul 13 14:23:45 ubuntu dstat.sh[82492]: 13-07 14:23:45| 56  12  31   0   1|1319M  908M  201M 5299M|9482  1717 |   0   892k|   0  14.0 |2331  3260 |1.57 0.64 0.34|4.0   0 161|   0     0 |   0     0 |  9   32    0   11    2
Jul 13 14:23:46 ubuntu dstat.sh[82492]: 13-07 14:23:46| 58  11  29   1   0|1388M  818M  201M 5318M| 275k  267k|  28k 2611k|2.00   114 |3268  5990 |1.57 0.64 0.34|5.0   0 2.0|   0     0 |   0     0 |  9   38    0   11    2
Jul 13 14:23:47 ubuntu dstat.sh[82492]: 13-07 14:23:47| 63  20  16   1   0|1338M  858M  202M 5326M| 458k  441k|   0  2685k|   0   109 |4814  9986 |1.57 0.64 0.34|6.0   0 375|   0     0 |   0     0 |  9   36    0   11    2
Jul 13 14:23:48 ubuntu dstat.sh[82492]: 13-07 14:23:48| 85  16   0   0   0|1492M  693M  202M 5334M|  62k   54k|   0  2354k|   0  97.1 |2408  3480 |1.57 0.64 0.34|9.0   0 175|   0     0 |   0     0 |  9   36    0   11    2
Jul 13 14:23:49 ubuntu dstat.sh[82492]: 13-07 14:23:49| 88  11   1   0   0|1535M  640M  203M 5343M| 668k  659k|   0  8199k|   0   173 |4974    10k|1.93 0.73 0.37|8.0   0  63|   0     0 |   0     0 |  9   38    0   11    2
Jul 13 14:23:50 ubuntu dstat.sh[82492]: 13-07 14:23:50| 75  13   9   2   0|1398M  759M  203M 5359M| 384k  376k|   0  4221k|   0   199 |4494  9245 |1.93 0.73 0.37|3.0   0 179|   0     0 |   0     0 |  9   37    0   11    2
Jul 13 14:23:51 ubuntu dstat.sh[82492]: 13-07 14:23:51| 29  10  60   1   0|1285M  871M  204M 5360M| 209k  203k|   0  1112k|   0  59.0 |2903  5336 |1.93 0.73 0.37|2.0   0 112|   0     0 |   0     0 |  9   37    0   12    2
Jul 13 14:23:52 ubuntu dstat.sh[82492]: 13-07 14:23:52| 26   5  69   0   0|1333M  828M  204M 5355M|  15k 3605 |   0   476k|   0  22.0 |1222  1340 |1.93 0.73 0.37|2.0   0 1.0|   0     0 |   0     0 |  9   34    0   12    3
Jul 13 14:23:53 ubuntu dstat.sh[82492]: 13-07 14:23:53| 41  10  48   1   0|1239M  937M  204M 5340M| 218k  208k|   0  1101k|   0  38.0 |2391  4442 |1.93 0.73 0.37|2.0   0  75|   0     0 |   0     0 |  9   34    0   12    0
Jul 13 14:23:54 ubuntu dstat.sh[82492]: 13-07 14:23:54| 44  10  45   0   0|1304M  871M  204M 5341M|9543  1757 |   0  1747k|   0  84.0 |9380    19k|1.93 0.75 0.38|2.0   0  16|   0     0 |   0     0 |  9   34    0   12    0
Jul 13 14:23:55 ubuntu dstat.sh[82492]: 13-07 14:23:55| 46   6  48   0   0|1236M  940M  204M 5341M| 215k  206k|   0  2283k|   0  46.0 |2254  3912 |1.93 0.75 0.38|2.0   0  16|   0     0 |   0     0 |  9   34    0   12    0
Jul 13 14:23:56 ubuntu dstat.sh[82492]: 13-07 14:23:56| 31  24  43   0   0|1253M  922M  204M 5341M|  11k 1945 |   0   468k|   0  16.0 |  11k   20k|1.93 0.75 0.38|2.0   0 463|   0     0 |   0     0 |  9   34    0   12    0
Jul 13 14:23:57 ubuntu dstat.sh[82492]: 13-07 14:23:57| 69  22   9   0   0|1315M  860M  204M 5341M|9121  1675 |   0   584k|   0  28.0 |2357  4285 |1.93 0.75 0.38|6.0   0 486|   0     0 |   0     0 |  9   34    0   12    0
Jul 13 14:23:58 ubuntu dstat.sh[82492]: 13-07 14:23:58| 85  15   0   0   0|1452M  723M  204M 5341M| 288k  269k|   0  1901k|   0   105 |2933  5507 |1.93 0.75 0.38| 10   0 109|   0     0 |   0     0 |  9   36    0   12    0
Jul 13 14:23:59 ubuntu dstat.sh[82492]: 13-07 14:23:59| 89  10   1   0   0|1466M  709M  204M 5342M|1032k 1023k|   0   627k|   0  60.9 |5442    11k|2.34 0.86 0.41|7.0   0 5.0|   0     0 |   0     0 |  9   35    0   12    0
Jul 13 14:24:00 ubuntu dstat.sh[82492]: 13-07 14:24:00| 85  13   1   0   0|1305M  869M  204M 5342M| 610k  602k|   0   790k|   0  65.2 |4420  9393 |2.34 0.86 0.41|6.0   0 204|   0     0 |   0     0 |  9   34    0   13    0
Jul 13 14:24:01 ubuntu dstat.sh[82492]: 13-07 14:24:01| 85  14   1   0   0|1475M  699M  204M 5342M| 443k  425k|   0   335k|   0  26.0 |3723  7351 |2.34 0.86 0.41|9.0   0 166|   0     0 |   0     0 |  9   36    0   13    0
Jul 13 14:24:02 ubuntu dstat.sh[82492]: 13-07 14:24:02| 83  11   5   0   0|1496M  678M  204M 5342M|1078k 1064k|   0   472k|   0  41.0 |5541    13k|2.34 0.86 0.41|5.0   0  50|   0     0 |   0     0 |  9   38    0   13    0
Jul 13 14:24:03 ubuntu dstat.sh[82492]: 13-07 14:24:03| 65  12  24   0   0|1377M  797M  204M 5342M|1204k 1192k|   0   580k|   0  44.0 |6955    15k|2.34 0.86 0.41|3.0 1.0 100|   0     0 |   0     0 |  9   37    0   17    0
Jul 13 14:24:04 ubuntu dstat.sh[82492]: 13-07 14:24:04| 48  10  41   0   0|1259M  915M  204M 5342M| 216k  207k|   0  8472k|   0   448 |3400  4879 |2.39 0.89 0.43|3.0   0 152|   0     0 |   0     0 |  9   34    0   17    0
Jul 13 14:24:05 ubuntu dstat.sh[82492]: 13-07 14:24:05| 45   5  48   0   0|1314M  860M  204M 5342M| 279k  256k|   0   364k|   0  18.0 |2207  3685 |2.39 0.89 0.43|4.0   0   0|   0     0 |   0     0 |  9   35    0   17    0
Jul 13 14:24:06 ubuntu dstat.sh[82492]: 13-07 14:24:06| 41  18  40   0   0|1214M  959M  204M 5343M| 541k  531k|   0   845k|   0  83.1 |4382  9640 |2.39 0.89 0.43|3.0   0 380|   0     0 |   0     0 |  9   34    0   21    0
Jul 13 14:24:07 ubuntu dstat.sh[82492]: 13-07 14:24:07| 67   7  24   0   0|1352M  822M  204M 5343M|  33k   23k|   0   184k|   0  7.99 |1619  1687 |2.39 0.89 0.43|4.0   0 4.0|   0     0 |   0     0 |  9   35    0   21    0
Jul 13 14:24:08 ubuntu dstat.sh[82492]: 13-07 14:24:08| 59   7  33   0   0|1376M  797M  204M 5344M| 850k  841k|   0   448k|   0  43.0 |5695    11k|2.39 0.89 0.43|6.0   0   0|   0     0 |   0     0 |  9   36    0   20    0
Jul 13 14:24:09 ubuntu dstat.sh[82492]: 13-07 14:24:09| 72  16  11   0   1|1329M  843M  204M 5344M| 195k  185k|   0  2534k|   0  62.0 |3294  6129 |2.44 0.93 0.44|4.0   0 265|   0     0 |   0     0 |  9   34    0   20    0
Jul 13 14:24:10 ubuntu dstat.sh[82492]: 13-07 14:24:10| 82  11   8   0   0|1441M  731M  204M 5344M| 621k  612k|   0   628k|   0  31.0 |4355  8037 |2.44 0.93 0.44|3.0   0   0|   0     0 |   0     0 |  9   38    0   22    0
Jul 13 14:24:11 ubuntu dstat.sh[82492]: 13-07 14:24:11| 68  13  18   0   0|1373M  799M  204M 5344M|1144k 1135k|   0   939k|   0  87.9 |5455    15k|2.44 0.93 0.44|6.0   0 200|   0     0 |   0     0 |  9   34    0   23    0
Jul 13 14:24:12 ubuntu dstat.sh[82492]: 13-07 14:24:12| 68  11  21   0   0|1367M  805M  204M 5344M| 125k  116k|   0   256k|   0  17.0 |2182  3286 |2.44 0.93 0.44|3.0   0 129|   0     0 |   0     0 |  9   35    0   23    0
Jul 13 14:24:13 ubuntu dstat.sh[82492]: 13-07 14:24:13| 64  16  19   0   0|1285M  886M  204M 5344M| 851k  842k|   0   724k|   0  67.0 |5061    12k|2.44 0.93 0.44|4.0   0 252|   0     0 |   0     0 |  9   35    0   23    0
Jul 13 14:24:14 ubuntu dstat.sh[82492]: 13-07 14:24:14| 77  11  13   0   0|1368M  803M  204M 5344M| 266k  256k|   0   832k|   0  24.0 |2600  4241 |2.65 1.00 0.47|3.0   0  53|   0     0 |   0     0 |  9   34    0   23    0
Jul 13 14:24:15 ubuntu dstat.sh[82492]: 13-07 14:24:15| 59   9  31   0   0|1264M  907M  204M 5345M| 964k  956k|   0   588k|   0  49.0 |5553    11k|2.65 1.00 0.47|5.0   0  54|   0     0 |   0     0 |  9   35    0   26    0
Jul 13 14:24:16 ubuntu dstat.sh[82492]: 13-07 14:24:16| 66  15  18   0   0|1336M  835M  204M 5345M| 186k  177k|   0   328k|   0  17.0 |2951  4914 |2.65 1.00 0.47|3.0   0 238|   0     0 |   0     0 |  9   34    1   26    0
Jul 13 14:24:17 ubuntu dstat.sh[82492]: 13-07 14:24:17| 67   7  24   0   0|1322M  849M  204M 5345M| 637k  629k|   0   524k|   0  50.0 |4368  8840 |2.65 1.00 0.47|4.0   0  11|   0     0 |   0     0 |  9   35    0   27    0
Jul 13 14:24:18 ubuntu dstat.sh[82492]: 13-07 14:24:18| 64  11  24   0   0|1311M  860M  204M 5345M| 280k  272k|   0   384k|   0  30.0 |3251  5990 |2.65 1.00 0.47|3.0   0 108|   0     0 |   0     0 |  9   34    0   27    0
Jul 13 14:24:19 ubuntu dstat.sh[82492]: 13-07 14:24:19| 66   8  26   0   0|1380M  791M  204M 5345M| 506k  497k|   0    48M|   0   214 |3357  6968 |2.59 1.01 0.48|3.0   0   0|   0     0 |   0     0 |  9   36    0   27    0
Jul 13 14:24:20 ubuntu dstat.sh[82492]: 13-07 14:24:20| 67  20  12   0   0|1287M  883M  204M 5345M| 411k  403k|   0   701k|   0  53.1 |4647  9552 |2.59 1.01 0.48|5.0   0 447|   0     0 |   0     0 |  9   34    0   25    0
Jul 13 14:24:21 ubuntu dstat.sh[82492]: 13-07 14:24:21| 86  14   0   0   0|1471M  700M  204M 5345M| 151k  141k|   0   228k|   0  15.0 |2448  3766 |2.59 1.01 0.48|7.0   0 128|   0     0 |   0     0 |  9   35    0   25    0
Jul 13 14:24:22 ubuntu dstat.sh[82492]: 13-07 14:24:22| 83  16   1   0   0|1407M  762M  204M 5346M| 556k  547k|   0   779k|   0  70.9 |5563    11k|2.59 1.01 0.48|7.0   0 224|   0     0 |   0     0 |  9   35    0   25    0
Jul 13 14:24:23 ubuntu dstat.sh[82492]: 13-07 14:24:23| 85  15   0   0   0|1436M  734M  204M 5346M| 281k  274k|   0   561k|   0  47.0 |3660  6862 |2.59 1.01 0.48|7.0   0 191|   0     0 |   0     0 |  9   34    0   25    0
Jul 13 14:24:24 ubuntu dstat.sh[82492]: 13-07 14:24:24| 84  14   1   0   0|1512M  658M  204M 5346M| 677k  668k|   0    19M|   0  78.9 |4382    26k|3.03 1.13 0.52|8.0   0 222|   0     0 |   0     0 |  9   37    0   25    0
Jul 13 14:24:25 ubuntu dstat.sh[82492]: 13-07 14:24:25| 75  18   6   0   0|1387M  783M  204M 5346M|1402k 1392k|   0  1169k|   0  52.0 |6077    18k|3.03 1.13 0.52|5.0   0 385|   0     0 |   0     0 |  9   36    0   26    0
Jul 13 14:24:26 ubuntu dstat.sh[82492]: 13-07 14:24:26| 43  24  30   0   0|1195M  974M  204M 5347M| 772k  761k|   0   516k|   0  33.0 |6196    14k|3.03 1.13 0.52|2.0   0 596|   0     0 |   0     0 |  9   34    0   26    0
Jul 13 14:24:27 ubuntu dstat.sh[82492]: 13-07 14:24:27|  9  22  68   0   0|1192M  977M  204M 5347M|  11k 1756 |   0   204k|   0  11.0 |2755  4034 |3.03 1.13 0.52|1.0   0 411|   0     0 |   0     0 |  9   34    0   26    0
Jul 13 14:24:28 ubuntu dstat.sh[82492]: 13-07 14:24:28| 37  32  31   0   0|1270M  899M  204M 5347M|  10k 2055 |   0   236k|   0  20.0 |2792  5592 |3.03 1.13 0.52|6.0   0 732|   0     0 |   0     0 |  9   34    0   26    0
Jul 13 14:24:29 ubuntu dstat.sh[82492]: 13-07 14:24:29| 81  18   0   0   0|1424M  745M  204M 5347M| 185k  177k|   0   556k|   0  39.0 |2729  5474 |3.11 1.18 0.54|7.0   0 319|   0     0 |   0     0 |  9   36    0   26    0
Jul 13 14:24:30 ubuntu dstat.sh[82492]: 13-07 14:24:30| 83  14   3   0   0|1382M  786M  204M 5347M| 851k  840k|   0   848k|   0  88.0 |5280    14k|3.11 1.18 0.54|5.0   0 153|   0     0 |   0     0 |  9   35    0   26    0
Jul 13 14:24:31 ubuntu dstat.sh[82492]: 13-07 14:24:31| 82  15   2   0   0|1344M  824M  204M 5347M| 413k  406k|   0   480k|   0  43.0 |4231  8565 |3.11 1.18 0.54|5.0   0 159|   0     0 |   0     0 |  9   34    0   26    0
Jul 13 14:24:32 ubuntu dstat.sh[82492]: 13-07 14:24:32| 86  13   1   0   0|1466M  702M  204M 5347M| 726k  716k|   0   360k|   0  26.0 |5207    11k|3.11 1.18 0.54|6.0   0  66|   0     0 |   0     0 |  9   36    0   27    0
Jul 13 14:24:33 ubuntu dstat.sh[82492]: 13-07 14:24:33| 63   9  27   0   0|1501M  667M  204M 5348M|1295k 1276k|   0   511k|   0  46.9 |8449    18k|3.11 1.18 0.54|3.0   0   0|   0     0 |   0     0 |  9   39    0   31    0
Jul 13 14:24:34 ubuntu dstat.sh[82492]: 13-07 14:24:34| 60   6  33   0   0|1503M  664M  204M 5348M|1059k 1051k|   0   589k|   0  64.1 |5072    14k|3.10 1.21 0.55|4.0   0   0|   0     0 |   0     0 |  9   37    0   33    0
Jul 13 14:24:35 ubuntu dstat.sh[82492]: 13-07 14:24:35| 81  15   3   0   0|1312M  854M  204M 5348M| 804k  795k|   0   724k|   0  75.0 |5625    12k|3.10 1.21 0.55|6.0   0 176|   0     0 |   0     0 |  9   34    0   34    0
Jul 13 14:24:36 ubuntu dstat.sh[82492]: 13-07 14:24:36| 89  10   0   0   0|1469M  698M  205M 5348M| 561k  552k|   0   352k|   0  31.0 |3459  8309 |3.10 1.21 0.55|4.0   0  20|   0     0 |   0     0 |  9   37    0   34    0
Jul 13 14:24:37 ubuntu dstat.sh[82492]: 13-07 14:24:37| 69   8  23   0   0|1506M  660M  205M 5349M|1297k 1291k|   0   540k|   0  46.0 |6248    16k|3.10 1.21 0.55|2.0   0 2.0|   0     0 |   0     0 |  9   39    0   39    0
Jul 13 14:24:38 ubuntu dstat.sh[82492]: 13-07 14:24:38| 52   5  42   0   0|1447M  719M  205M 5349M|1098k 1092k|   0   444k|   0  38.0 |7271    15k|3.10 1.21 0.55|3.0   0 1.0|   0     0 |   0     0 |  9   38    0   42    0
Jul 13 14:24:39 ubuntu dstat.sh[82492]: 13-07 14:24:39| 68  12  19   1   0|1424M  741M  205M 5350M|1289k 1279k|   0   532k|   0  49.0 |6146    16k|3.17 1.26 0.57|5.0   0 134|   0     0 |   0     0 |  9   37    0   45    0
Jul 13 14:24:40 ubuntu dstat.sh[82492]: 13-07 14:24:40| 82  14   3   0   0|1450M  716M  205M 5350M| 866k  857k|   0  6305k|   0   256 |7091    14k|3.17 1.26 0.57|5.0   0  69|   0     0 |   0     0 |  9   34    0   43    0
Jul 13 14:24:41 ubuntu dstat.sh[82492]: 13-07 14:24:41| 85  12   1   0   0|1456M  707M  205M 5352M| 734k  726k|   0   360k|   0  30.0 |4211  9262 |3.17 1.26 0.57|4.0   0 114|   0     0 |   0     0 |  9   37    0   43    0
Jul 13 14:24:42 ubuntu dstat.sh[82492]: 13-07 14:24:42| 83  13   4   0   0|1414M  748M  205M 5353M| 993k  985k|   0   637k|   0  66.1 |6074    14k|3.17 1.26 0.57|5.0   0  99|   0     0 |   0     0 |  9   36    0   43    0
Jul 13 14:24:43 ubuntu dstat.sh[82492]: 13-07 14:24:43| 84  14   1   0   0|1402M  760M  205M 5353M|1028k 1021k|   0   408k|   0  35.0 |5102    13k|3.17 1.26 0.57|5.0   0  72|   0     0 |   0     0 |  9   35    0   43    0
Jul 13 14:24:44 ubuntu dstat.sh[82492]: 13-07 14:24:44| 83  14   2   0   0|1454M  708M  205M 5353M| 977k  968k|   0   420k|   0  34.0 |5426    15k|3.56 1.37 0.61|4.0   0  72|   0     0 |   0     0 |  9   37    0   43    0
Jul 13 14:24:45 ubuntu dstat.sh[82492]: 13-07 14:24:45| 83  11   5   0   0|1345M  816M  205M 5354M|1034k 1026k|   0   903k|   0  90.9 |6415    15k|3.56 1.37 0.61|6.0   0 101|   0     0 |   0     0 |  9   35    0   44    0
Jul 13 14:24:46 ubuntu dstat.sh[82492]: 13-07 14:24:46| 84  14   2   0   0|1433M  728M  205M 5354M| 669k  658k|   0   384k|   0  27.0 |4499  9761 |3.56 1.37 0.61|6.0   0 125|   0     0 |   0     0 |  9   35    0   44    0
Jul 13 14:24:47 ubuntu dstat.sh[82492]: 13-07 14:24:47| 84  11   4   0   0|1456M  705M  205M 5354M|1263k 1254k|   0   592k|   0  57.0 |7517    15k|3.56 1.37 0.61|4.0   0  33|   0     0 |   0     0 |  9   38    0   44    0
Jul 13 14:24:48 ubuntu dstat.sh[82492]: 13-07 14:24:48| 82  12   5   0   0|1362M  798M  205M 5354M|1184k 1172k|   0   492k|   0  41.0 |6161    13k|3.56 1.37 0.61|6.0   0  96|   0     0 |   0     0 |  9   35    0   46    0
Jul 13 14:24:49 ubuntu dstat.sh[82492]: 13-07 14:24:49| 85  12   2   0   0|1423M  737M  205M 5355M| 812k  803k|   0   388k|   0  31.0 |4935    12k|3.67 1.43 0.63|6.0   0 102|   0     0 |   0     0 |  9   36    0   46    0
Jul 13 14:24:50 ubuntu dstat.sh[82492]: 13-07 14:24:50| 82  12   4   0   1|1435M  724M  205M 5355M|1054k 1045k|   0  8952k|   0   239 |6330    15k|3.67 1.43 0.63|4.0   0  67|   0     0 |   0     0 |  9   36    0   48    0
