-- Logs begin at Tue 2023-01-10 23:34:18 UTC, end at Wed 2023-01-11 20:21:55 UTC. --
Jan 11 19:41:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 11 19:41:29 ubuntu dstat.sh[90415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 11 19:41:29 ubuntu dstat.sh[90415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 11 19:42:08 ubuntu dstat.sh[90415]: 11-01 19:42:08| 71  10  19   0   0|1383M  738M  223M 5391M| 479k  415k|   0  7257k|   0  82.1 |4123  7925 |2.00 0.79 0.41|3.0   0 187|   0     0 |   0     0 |  9   36    0   14    2
Jan 11 19:42:09 ubuntu dstat.sh[90415]: 11-01 19:42:09| 30   8  60   0   0|1264M  856M  224M 5391M| 368k  215k|   0   784k|   0  36.0 |3261  5704 |2.00 0.79 0.41|1.0   0 114|   0     0 |   0     0 |  9   36    0   13    2
Jan 11 19:42:10 ubuntu dstat.sh[90415]: 11-01 19:42:10| 28   4  66   0   0|1322M  798M  224M 5392M| 145k 7016 |   0   528k|   0  17.0 |1402  1472 |2.00 0.79 0.41|2.0   0 3.0|   0     0 |   0     0 |  9   36    0   13    2
Jan 11 19:42:11 ubuntu dstat.sh[90415]: 11-01 19:42:11| 32   6  62   0   0|1252M  868M  224M 5392M| 241k  212k|   0   909k|   0  56.1 |2811  5047 |2.00 0.79 0.41|1.0   0  70|   0     0 |   0     0 |  9   36    0   13    2
Jan 11 19:42:12 ubuntu dstat.sh[90415]: 11-01 19:42:12| 31   4  64   0   0|1302M  817M  224M 5392M|  65k 5989 |   0   480k|   0  17.0 |1224  1437 |1.92 0.79 0.41|2.0   0 2.0|   0     0 |   0     0 |  9   36    0   13    2
Jan 11 19:42:13 ubuntu dstat.sh[90415]: 11-01 19:42:13| 41   8  49   1   0|1342M  775M  224M 5394M| 211k  205k|   0  3014k|   0  39.0 |2486  4395 |1.92 0.79 0.41|3.0   0 4.0|   0     0 |   0     0 |  9   36    0   14    3
Jan 11 19:42:14 ubuntu dstat.sh[90415]: 11-01 19:42:14| 33  21  45   0   0|1249M  866M  224M 5395M|8092  2463 |   0   673k|   0  16.0 |3134  5007 |1.92 0.79 0.41|3.0   0 394|   0     0 |   0     0 |  9   36    0   14    2
Jan 11 19:42:15 ubuntu dstat.sh[90415]: 11-01 19:42:15| 55  25  18   1   0|1341M  752M  225M 5415M|8757  1620 |   0  3117k|   0   123 |2735  4846 |1.92 0.79 0.41|6.0   0 527|   0     0 |   0     0 |  9   36    0   14    2
Jan 11 19:42:16 ubuntu dstat.sh[90415]: 11-01 19:42:16| 84  16   0   0   0|1487M  593M  226M 5425M|  79k   74k|   0  3540k|   0   146 |2783  3769 |1.92 0.79 0.41|6.0   0 124|   0     0 |   0     0 |  9   37    0   14    2
Jan 11 19:42:17 ubuntu dstat.sh[90415]: 11-01 19:42:17| 88  10   1   0   0|1513M  559M  226M 5431M| 926k  920k|   0  2228k|   0   111 |4889    12k|2.33 0.89 0.45|5.0   0  32|   0     0 |   0     0 |  9   39    0   14    2
Jan 11 19:42:18 ubuntu dstat.sh[90415]: 11-01 19:42:18| 86  12   1   0   0|1457M  595M  226M 5451M| 720k  713k|   0  3558k|   0  94.9 |5421    11k|2.33 0.89 0.45|6.0   0  61|   0     0 |   0     0 |  9   38    0   14    2
Jan 11 19:42:19 ubuntu dstat.sh[90415]: 11-01 19:42:19| 86  14   1   0   0|1438M  605M  227M 5457M| 328k  321k|   0  2365k|   0   104 |4177  6893 |2.33 0.89 0.45|5.0   0  98|   0     0 |   0     0 |  9   37    1   14    2
Jan 11 19:42:20 ubuntu dstat.sh[90415]: 11-01 19:42:20| 87  12   1   0   0|1493M  550M  227M 5457M| 775k  766k|   0   768k|   0  38.0 |4023    11k|2.33 0.89 0.45|6.0   0 151|   0     0 |   0     0 |  9   39    0   14    2
Jan 11 19:42:21 ubuntu dstat.sh[90415]: 11-01 19:42:21| 86  13   0   0   0|1451M  612M  227M 5438M| 874k  868k|   0  1016k|   0  44.0 |5410    12k|2.33 0.89 0.45|6.0   0  45|   0     0 |   0     0 |  9   34    0   15    0
Jan 11 19:42:22 ubuntu dstat.sh[90415]: 11-01 19:42:22| 75  15   9   0   0|1389M  673M  227M 5438M|1096k 1088k|   0  1283k|   0  68.0 |6435    16k|2.70 0.99 0.48|4.0   0 170|   0     0 |   0     0 |  9   35    0   16    0
Jan 11 19:42:23 ubuntu dstat.sh[90415]: 11-01 19:42:23| 67  15  17   1   0|1321M  741M  227M 5438M|  78k   64k|   0  6756k|   0   255 |8792    16k|2.70 0.99 0.48|3.0   0  91|   0     0 |   0     0 |  9   34    0   16    0
Jan 11 19:42:24 ubuntu dstat.sh[90415]: 11-01 19:42:24| 66  10  22   1   0|1328M  735M  227M 5438M| 326k  307k|   0  1280k|   0  36.0 |9822    19k|2.70 0.99 0.48|4.0   0  45|   0     0 |   0     0 |  9   35    0   16    0
Jan 11 19:42:25 ubuntu dstat.sh[90415]: 11-01 19:42:25| 74  21   5   0   0|1391M  672M  227M 5438M| 495k  486k|   0   700k|   0  31.0 |4583  9542 |2.70 0.99 0.48|5.0   0 301|   0     0 |   0     0 |  9   34    0   16    0
Jan 11 19:42:26 ubuntu dstat.sh[90415]: 11-01 19:42:26| 86  13   1   0   0|1380M  682M  227M 5438M| 197k  179k|   0   364k|   0  15.0 |2489  3646 |2.70 0.99 0.48|4.0   0  62|   0     0 |   0     0 |  9   35    0   13    0
Jan 11 19:42:27 ubuntu dstat.sh[90415]: 11-01 19:42:27| 80  10   8   0   0|1239M  822M  227M 5439M| 875k  867k|   0   700k|   0  76.0 |5943    14k|2.81 1.04 0.50|4.0   0 112|   0     0 |   0     0 |  9   34    0   15    0
Jan 11 19:42:28 ubuntu dstat.sh[90415]: 11-01 19:42:28| 86  14   0   0   0|1377M  685M  227M 5439M|9504  1620 |   0  8372k|   0   353 |2421  2667 |2.81 1.04 0.50|5.0   0 192|   0     0 |   0     0 |  9   34    0   15    0
Jan 11 19:42:29 ubuntu dstat.sh[90415]: 11-01 19:42:29| 80   8  10   0   0|1450M  611M  227M 5440M| 926k  919k|   0   424k|   0  31.7 |5520    11k|2.81 1.04 0.50|6.0   0  19|   0     0 |   0     0 |  9   37    0   17    0
Jan 11 19:42:30 ubuntu dstat.sh[90415]: 11-01 19:42:30| 58  14  28   0   0|1252M  808M  227M 5440M| 851k  844k|   0   803k|   0  69.6 |5643    13k|2.81 1.04 0.50|3.0   0 234|   0     0 |   0     0 |  9   34    0   22    0
Jan 11 19:42:31 ubuntu dstat.sh[90415]: 11-01 19:42:31| 63  12  25   0   0|1328M  733M  227M 5440M|7028  1566 |   0   200k|   0  11.0 |1748  2133 |2.81 1.04 0.50|3.0   0  97|   0     0 |   0     0 |  9   34    0   22    0
Jan 11 19:42:32 ubuntu dstat.sh[90415]: 11-01 19:42:32| 66   8  26   0   0|1320M  741M  227M 5440M| 699k  693k|   0   480k|   0  48.0 |4658  9908 |2.82 1.08 0.52|3.0   0  10|   0     0 |   0     0 |  9   36    0   24    0
Jan 11 19:42:33 ubuntu dstat.sh[90415]: 11-01 19:42:33| 73  15  11   0   0|1304M  756M  227M 5440M| 513k  506k|   0  2912k|   0  62.0 |4594  9108 |2.82 1.08 0.52|3.0   0 295|   0     0 |   0     0 |  9   34    0   25    0
Jan 11 19:42:34 ubuntu dstat.sh[90415]: 11-01 19:42:34| 66   7  26   0   0|1388M  673M  227M 5440M| 200k  184k|   0   335k|   0  13.0 |2209  3223 |2.82 1.08 0.52|3.0   0   0|   0     0 |   0     0 |  9   35    0   25    0
Jan 11 19:42:35 ubuntu dstat.sh[90415]: 11-01 19:42:35| 57  12  27   1   0|1277M  783M  227M 5440M| 943k  932k|   0   597k|   0  52.1 |6165    14k|2.82 1.08 0.52|4.0   0 239|   0     0 |   0     0 |  9   35    0   29    0
Jan 11 19:42:36 ubuntu dstat.sh[90415]: 11-01 19:42:36| 72  11  17   0   0|1345M  715M  227M 5440M|  14k 5657 |   0   212k|   0  12.0 |1672  1733 |2.82 1.08 0.52|3.0   0  53|   0     0 |   0     0 |  9   34    0   27    0
Jan 11 19:42:37 ubuntu dstat.sh[90415]: 11-01 19:42:37| 61   7  32   0   0|1389M  671M  227M 5441M| 682k  674k|   0   296k|   0  27.0 |4262  8611 |2.92 1.13 0.54|2.0   0   0|   0     0 |   0     0 |  9   37    0   28    0
Jan 11 19:42:38 ubuntu dstat.sh[90415]: 11-01 19:42:38| 62  11  26   0   0|1286M  774M  227M 5441M| 221k  215k|   0   452k|   0  46.0 |3371  5955 |2.92 1.13 0.54|3.0   0 117|   0     0 |   0     0 |  9   34    0   28    0
Jan 11 19:42:39 ubuntu dstat.sh[90415]: 11-01 19:42:39| 67   8  25   0   0|1386M  674M  227M 5441M| 280k  271k|   0   288k|   0  22.0 |2581  3933 |2.92 1.13 0.54|3.0   0 2.0|   0     0 |   0     0 |  9   36    0   29    0
Jan 11 19:42:40 ubuntu dstat.sh[90415]: 11-01 19:42:40| 60  17  20   2   0|1308M  751M  227M 5441M| 642k  633k|   0   649k|   0  66.1 |4592    11k|2.92 1.13 0.54|5.0   0 238|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:41 ubuntu dstat.sh[90415]: 11-01 19:42:41| 82  17   1   0   0|1407M  653M  227M 5441M|  27k   11k|   0   240k|   0  14.0 |2120  3132 |2.92 1.13 0.54|6.0   0 231|   0     0 |   0     0 |  9   35    0   29    0
Jan 11 19:42:42 ubuntu dstat.sh[90415]: 11-01 19:42:42| 86  13   2   0   0|1457M  602M  228M 5441M| 616k  610k|   0   812k|   0  60.0 |5339    10k|3.17 1.21 0.57|7.0   0 173|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:43 ubuntu dstat.sh[90415]: 11-01 19:42:43| 84  15   0   0   0|1380M  679M  228M 5441M| 228k  218k|   0   608k|   0  49.0 |3740  6387 |3.17 1.21 0.57|6.0   0 222|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:44 ubuntu dstat.sh[90415]: 11-01 19:42:44| 87  12   1   0   0|1391M  668M  228M 5442M| 320k  313k|   0  1464k|   0  43.0 |3956  6954 |3.17 1.21 0.57|6.0   0 154|   0     0 |   0     0 |  9   35    0   29    0
Jan 11 19:42:45 ubuntu dstat.sh[90415]: 11-01 19:42:45| 85  15   1   0   0|1416M  643M  228M 5442M| 946k  939k|   0   676k|   0  43.0 |4032    12k|3.17 1.21 0.57|6.0   0 187|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:46 ubuntu dstat.sh[90415]: 11-01 19:42:46| 71  18   8   0   0|1323M  736M  228M 5442M| 958k  950k|   0   848k|   0  49.0 |5618    14k|3.17 1.21 0.57|5.0   0 416|   0     0 |   0     0 |  9   35    0   29    0
Jan 11 19:42:47 ubuntu dstat.sh[90415]: 11-01 19:42:47| 45  25  29   0   0|1182M  876M  228M 5442M| 799k  791k|   0   596k|   0  32.0 |5022    14k|3.31 1.27 0.59|3.0   0 577|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:48 ubuntu dstat.sh[90415]: 11-01 19:42:48| 10  25  64   0   0|1180M  878M  228M 5442M|9477  1662 |   0   280k|   0  16.0 |2965  4669 |3.31 1.27 0.59|2.0   0 526|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:49 ubuntu dstat.sh[90415]: 11-01 19:42:49| 59  28  12   0   0|1308M  750M  228M 5442M|  11k 1621 |   0    58M|   0   203 |2545  5526 |3.31 1.27 0.59|6.0   0 745|   0     0 |   0     0 |  9   34    0   29    0
Jan 11 19:42:50 ubuntu dstat.sh[90415]: 11-01 19:42:50| 84  16   0   0   0|1450M  608M  228M 5442M| 227k  216k|   0  1051k|   0  62.0 |3007  5038 |3.31 1.27 0.59|5.0   0 186|   0     0 |   0     0 |  9   35    0   29    0
Jan 11 19:42:51 ubuntu dstat.sh[90415]: 11-01 19:42:51| 81  15   3   0   0|1307M  751M  228M 5443M| 922k  916k|   0  1197k|   0   120 |5800    15k|3.31 1.27 0.59|5.0   0 196|   0     0 |   0     0 |  9   34    0   30    0
Jan 11 19:42:52 ubuntu dstat.sh[90415]: 11-01 19:42:52| 86  13   1   0   0|1413M  644M  228M 5443M| 289k  283k|   0   340k|   0  29.0 |2982  5560 |3.45 1.33 0.61|5.0   0  77|   0     0 |   0     0 |  9   34    0   30    0
Jan 11 19:42:53 ubuntu dstat.sh[90415]: 11-01 19:42:53| 87  11   2   0   0|1477M  581M  228M 5443M| 691k  684k|   0   392k|   0  33.0 |3793  8819 |3.45 1.33 0.61|4.0   0  69|   0     0 |   0     0 |  9   37    0   31    0
Jan 11 19:42:54 ubuntu dstat.sh[90415]: 11-01 19:42:54| 70   7  20   0   0|1523M  534M  228M 5444M|1350k 1344k|   0  9549k|   0   190 |7045    17k|3.45 1.33 0.61|2.0   0   0|   0     0 |   0     0 |  9   39    0   32    0
Jan 11 19:42:55 ubuntu dstat.sh[90415]: 11-01 19:42:55| 65   7  27   0   1|1402M  654M  228M 5444M|1330k 1324k|   0   681k|   0  74.1 |5827    17k|3.45 1.33 0.61|6.0   0  49|   0     0 |   0     0 |  9   37    0   36    0
Jan 11 19:42:56 ubuntu dstat.sh[90415]: 11-01 19:42:56| 84  13   2   0   0|1392M  664M  228M 5444M| 512k  497k|   0   588k|   0  64.0 |4852  9614 |3.45 1.33 0.61|5.0   0 115|   0     0 |   0     0 |  9   34    0   38    0
Jan 11 19:42:57 ubuntu dstat.sh[90415]: 11-01 19:42:57| 86  13   1   0   0|1479M  577M  228M 5444M| 298k  292k|   0   228k|   0  17.0 |3316  4754 |3.57 1.39 0.64|4.0   0  32|   0     0 |   0     0 |  9   37    0   38    0
Jan 11 19:42:58 ubuntu dstat.sh[90415]: 11-01 19:42:58| 71   9  20   0   0|1527M  528M  228M 5445M|1514k 1509k|   0   596k|   0  55.0 |5234    19k|3.57 1.39 0.64|2.0   0   0|   0     0 |   0     0 |  9   39    0   42    0
Jan 11 19:42:59 ubuntu dstat.sh[90415]: 11-01 19:42:59| 51   6  40   1   0|1530M  525M  228M 5445M|1242k 1236k|   0  3420k|   0  89.9 |6954    15k|3.57 1.39 0.64|2.0 1.0 2.0|   0     0 |   0     0 |  9   39    0   42    0
Jan 11 19:43:00 ubuntu dstat.sh[90415]: 11-01 19:43:00| 51   8  41   0   0|1463M  591M  228M 5445M|1032k 1026k|   0   264k|   0  28.0 |6591    14k|3.57 1.39 0.64|4.0   0 5.0|   0     0 |   0     0 |  9   37    0   45    0
Jan 11 19:43:01 ubuntu dstat.sh[90415]: 11-01 19:43:01| 79  16   4   0   0|1351M  703M  228M 5445M| 868k  862k|   0   544k|   0  55.0 |5352    13k|3.57 1.39 0.64|5.0   0 255|   0     0 |   0     0 |  9   35    0   45    0
Jan 11 19:43:02 ubuntu dstat.sh[90415]: 11-01 19:43:02| 86  14   0   0   0|1438M  617M  228M 5446M| 245k  239k|   0   276k|   0  19.0 |2802  4801 |3.69 1.45 0.66|5.0   0  49|   0     0 |   0     0 |  9   35    0   45    0
Jan 11 19:43:03 ubuntu dstat.sh[90415]: 11-01 19:43:03| 82  14   2   0   0|1391M  661M  228M 5448M|1061k 1055k|   0   568k|   0  52.0 |5598    14k|3.69 1.45 0.66|5.0   0 111|   0     0 |   0     0 |  9   36    0   45    0
Jan 11 19:43:04 ubuntu dstat.sh[90415]: 11-01 19:43:04| 85  13   2   0   0|1489M  563M  228M 5449M| 894k  888k|   0   481k|   0  45.1 |5105    12k|3.69 1.45 0.66|5.0   0 2.0|   0     0 |   0     0 |  9   36    0   45    0
Jan 11 19:43:05 ubuntu dstat.sh[90415]: 11-01 19:43:05| 81  14   4   0   0|1445M  606M  228M 5449M| 896k  891k|   0   440k|   0  40.0 |6155    13k|3.69 1.45 0.66|6.0   0  67|   0     0 |   0     0 |  9   35    0   45    0
Jan 11 19:43:06 ubuntu dstat.sh[90415]: 11-01 19:43:06| 85  12   3   0   0|1412M  638M  228M 5449M| 724k  716k|   0   504k|   0  47.0 |5986    12k|3.69 1.45 0.66|6.0   0 138|   0     0 |   0     0 |  9   35    0   45    0
